wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-24T15:44:33.045,4834436,22.9,38.0,V,1.398,0.152,0.272,1.4363,1.5864,13.92,1.5702,1.5395,0.0
2026-03-24T15:44:33.472,4835460,22.9,38.1,V,1.398,0.153,0.272,1.4352,1.5865,14.03,1.5708,1.541,0.0
2026-03-24T15:44:34.496,4836484,22.9,38.0,V,1.397,0.153,0.272,1.4347,1.5862,14.05,1.5701,1.5423,0.0
2026-03-24T15:44:35.520,4837508,22.9,38.0,V,1.397,0.153,0.272,1.4363,1.5856,13.85,1.5706,1.5375,0.0
2026-03-24T15:44:36.544,4838532,22.9,38.0,V,1.396,0.153,0.272,1.434,1.5854,14.04,1.5709,1.5378,0.0
2026-03-24T15:44:37.568,4839556,22.9,37.9,V,1.396,0.154,0.272,1.436,1.5873,14.03,1.5704,1.534,0.0
2026-03-24T15:44:38.592,4840580,22.9,37.7,V,1.395,0.154,0.272,1.4363,1.587,13.98,1.5701,1.5355,0.0
2026-03-24T15:44:39.616,4841604,22.9,37.5,V,1.395,0.155,0.272,1.4357,1.5866,13.99,1.57,1.5386,0.0
2026-03-24T15:44:40.640,4842628,22.9,37.3,V,1.395,0.155,0.272,1.436,1.5864,13.95,1.571,1.5394,0.0
2026-03-24T15:44:41.664,4843652,22.9,37.2,V,1.395,0.155,0.272,1.4361,1.5875,14.04,1.5704,1.5453,0.0
2026-03-24T15:44:42.688,4844676,22.9,37.1,V,1.394,0.155,0.272,1.4342,1.5871,14.18,1.5703,1.5466,0.0
2026-03-24T15:44:43.712,4845700,22.9,37.0,V,1.395,0.156,0.272,1.4343,1.5873,14.19,1.5709,1.5398,0.0
2026-03-24T15:44:44.736,4846724,22.9,36.8,V,1.394,0.156,0.272,1.4363,1.586,13.88,1.5701,1.5391,0.0
2026-03-24T15:44:45.760,4847748,22.9,36.6,V,1.394,0.156,0.272,1.4351,1.586,13.99,1.5698,1.542,0.0
2026-03-24T15:44:46.784,4848772,22.9,36.5,V,1.394,0.156,0.272,1.4357,1.5865,13.98,1.5706,1.545,0.0
2026-03-24T15:44:47.808,4849796,22.9,36.5,V,1.396,0.157,0.272,1.434,1.5856,14.06,1.5701,1.5393,0.0
2026-03-24T15:44:48.832,4850820,22.9,36.6,V,1.396,0.157,0.272,1.4345,1.5871,14.15,1.5705,1.5493,0.0
