wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-24T15:47:21.027,5002323,23.1,20.1,V,2.437,1.443,1.262,1.4159,1.5656,13.88,1.5554,3.3,325.88
2026-03-24T15:47:21.355,5003347,23.1,19.8,V,2.417,1.175,1.185,1.4185,1.566,13.67,1.5554,3.3,325.87
2026-03-24T15:47:22.381,5004371,23.1,19.6,V,2.425,1.019,1.035,1.4178,1.5656,13.7,1.5546,3.3,326.03
2026-03-24T15:47:23.403,5005395,23.2,19.4,V,2.414,1.207,0.928,1.4172,1.565,13.71,1.5546,3.3,326.03
2026-03-24T15:47:24.427,5006419,23.1,19.4,V,2.408,1.301,0.86,1.4169,1.5645,13.68,1.5545,3.3,326.06
2026-03-24T15:47:25.451,5007443,23.1,19.5,V,2.424,1.362,0.781,1.4183,1.5675,13.84,1.5541,3.3,326.13
2026-03-24T15:47:26.475,5008467,23.1,19.4,V,2.427,1.347,0.702,1.4185,1.5665,13.72,1.5549,3.3,325.97
2026-03-24T15:47:27.499,5009491,23.1,19.2,V,2.411,1.211,0.628,1.4169,1.5668,13.9,1.5545,3.3,326.05
2026-03-24T15:47:28.523,5010515,23.1,19.1,V,2.399,1.048,0.586,1.4162,1.566,13.89,1.5544,3.3,326.07
2026-03-24T15:47:29.547,5011539,23.2,18.9,V,2.377,0.98,0.567,1.417,1.5675,13.95,1.5539,3.3,326.16
2026-03-24T15:47:30.571,5012563,23.1,18.9,V,2.367,0.948,0.555,1.4174,1.5672,13.9,1.5541,3.3,326.13
2026-03-24T15:47:31.595,5013587,23.1,18.9,V,2.337,0.781,0.527,1.4155,1.5672,14.08,1.5539,3.3,326.15
2026-03-24T15:47:32.619,5014611,23.2,19.0,V,2.325,0.759,0.503,1.4162,1.5668,13.97,1.5538,3.3,326.18
2026-03-24T15:47:33.643,5015635,23.2,19.0,V,2.307,0.646,0.513,1.4188,1.5673,13.77,1.5534,3.3,326.26
2026-03-24T15:47:34.667,5016659,23.2,19.0,V,2.293,0.746,0.576,1.4174,1.5661,13.79,1.554,3.3,326.15
2026-03-24T15:47:35.691,5017683,23.2,19.0,V,2.279,0.717,0.58,1.4163,1.5665,13.93,1.5533,3.3,326.28
2026-03-24T15:47:36.715,5018707,23.2,19.1,V,2.253,0.496,0.55,1.4185,1.565,13.59,1.5534,3.3,326.25
2026-03-24T15:47:37.739,5019731,23.2,19.0,V,2.231,0.446,0.501,1.4182,1.5632,13.45,1.5547,3.3,326.01
2026-03-24T15:47:38.763,5020755,23.2,18.9,V,2.244,0.427,0.454,1.4191,1.5707,14.06,1.5566,3.3,325.66
