wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-24T15:25:39.437,3700868,22.9,21.9,V,1.264,0.131,0.294,1.4315,1.5905,14.75,1.5652,1.5342,0.0
2026-03-24T15:25:39.935,3701892,22.9,21.9,V,1.267,0.131,0.294,1.431,1.5888,14.63,1.5645,1.541,0.0
2026-03-24T15:25:40.959,3702916,22.9,22.0,V,1.27,0.132,0.294,1.4298,1.5882,14.69,1.5642,1.5408,0.0
2026-03-24T15:25:41.983,3703940,22.9,22.1,V,1.274,0.133,0.294,1.4301,1.589,14.74,1.5644,1.543,0.0
2026-03-24T15:25:43.007,3704964,22.9,22.2,V,1.276,0.133,0.294,1.431,1.59,14.75,1.5641,1.5378,0.0
2026-03-24T15:25:44.030,3705988,22.9,22.3,V,1.279,0.134,0.295,1.4318,1.5912,14.78,1.564,1.5455,0.0
2026-03-24T15:25:45.055,3707012,22.9,22.3,V,1.283,0.135,0.295,1.4319,1.5892,14.59,1.5646,1.5427,0.0
2026-03-24T15:25:46.079,3708036,22.9,22.4,V,1.287,0.136,0.295,1.4309,1.5881,14.58,1.5656,1.5427,0.0
2026-03-24T15:25:47.103,3709060,22.9,22.5,V,1.289,0.138,0.296,1.4313,1.5888,14.61,1.5648,1.5479,0.0
2026-03-24T15:25:48.127,3710084,22.9,22.6,V,1.292,0.138,0.296,1.4316,1.5908,14.76,1.5654,1.5361,0.0
2026-03-24T15:25:49.150,3711108,22.9,22.7,V,1.295,0.139,0.296,1.4316,1.5883,14.53,1.5647,1.5402,0.0
2026-03-24T15:25:50.175,3712132,22.9,22.8,V,1.299,0.14,0.296,1.4316,1.5895,14.64,1.5652,1.5426,0.0
2026-03-24T15:25:51.199,3713156,22.9,22.9,V,1.302,0.14,0.296,1.4322,1.588,14.45,1.5653,1.5434,0.0
2026-03-24T15:25:52.223,3714180,22.9,23.0,V,1.304,0.141,0.296,1.4305,1.5902,14.81,1.5646,1.542,0.0
2026-03-24T15:25:53.247,3715204,22.9,23.1,V,1.307,0.142,0.297,1.432,1.5885,14.52,1.5651,1.5378,0.0
2026-03-24T15:25:54.270,3716228,22.9,23.2,V,1.311,0.142,0.297,1.4312,1.5886,14.6,1.5652,1.5474,0.0
2026-03-24T15:25:55.294,3717252,22.9,23.3,V,1.315,0.142,0.297,1.4315,1.5886,14.57,1.5652,1.5329,0.0
2026-03-24T15:25:56.318,3718276,22.9,23.4,V,1.318,0.143,0.297,1.4318,1.5875,14.44,1.5649,1.5467,0.0
2026-03-24T15:25:57.342,3719300,22.9,23.5,V,1.321,0.143,0.297,1.4315,1.5887,14.58,1.5647,1.5467,0.0
2026-03-24T15:25:58.366,3720324,22.9,23.6,V,1.325,0.144,0.297,1.4326,1.5899,14.59,1.5649,1.5424,0.0
2026-03-24T15:25:59.390,3721348,22.9,23.7,V,1.328,0.145,0.297,1.432,1.5887,14.53,1.5649,1.5426,0.0
2026-03-24T15:26:00.414,3722372,22.9,23.8,V,1.329,0.145,0.297,1.4311,1.5884,14.59,1.5655,1.5489,0.0
2026-03-24T15:26:01.438,3723396,22.9,23.9,V,1.332,0.146,0.297,1.432,1.5903,14.68,1.5652,1.5509,0.0
2026-03-24T15:26:02.462,3724420,22.9,24.0,V,1.336,0.147,0.297,1.4322,1.5891,14.55,1.5648,1.547,0.0
2026-03-24T15:26:03.486,3725444,22.9,24.1,V,1.339,0.147,0.297,1.4299,1.5893,14.78,1.5645,1.5471,0.0
2026-03-24T15:26:04.510,3726468,22.9,24.2,V,1.342,0.149,0.298,1.4325,1.5886,14.47,1.5646,1.5519,0.0
2026-03-24T15:26:05.534,3727492,22.9,24.3,V,1.345,0.15,0.298,1.4314,1.5884,14.56,1.5653,1.5415,0.0
2026-03-24T15:26:06.558,3728516,22.9,24.4,V,1.349,0.151,0.298,1.4315,1.5874,14.46,1.5647,1.5472,0.0
2026-03-24T15:26:07.582,3729540,22.9,24.5,V,1.352,0.152,0.298,1.4306,1.5864,14.45,1.5644,1.5475,0.0
2026-03-24T15:26:08.606,3730564,22.9,24.6,V,1.354,0.153,0.298,1.43,1.5877,14.63,1.5648,1.5471,0.0
2026-03-24T15:26:09.630,3731588,22.9,24.7,V,1.355,0.154,0.298,1.4317,1.5879,14.49,1.5648,1.5466,0.0
2026-03-24T15:26:10.654,3732612,22.9,24.8,V,1.359,0.154,0.299,1.4317,1.5898,14.66,1.5645,1.5527,0.0
2026-03-24T15:26:11.678,3733636,22.9,25.0,V,1.363,0.155,0.299,1.4318,1.5875,14.43,1.5645,1.5462,0.0
2026-03-24T15:26:12.702,3734660,22.9,25.1,V,1.366,0.155,0.299,1.432,1.5876,14.43,1.5645,1.5506,0.0
2026-03-24T15:26:13.726,3735684,22.9,25.2,V,1.369,0.155,0.299,1.4312,1.5877,14.51,1.5646,1.5463,0.0
2026-03-24T15:26:14.750,3736708,22.9,25.3,V,1.373,0.156,0.299,1.4302,1.5903,14.85,1.5643,1.5445,0.0
2026-03-24T15:26:15.784,3737732,22.9,25.4,V,1.376,0.157,0.3,1.4306,1.5885,14.64,1.564,1.5512,0.0
