wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-24T14:48:47.919,1489028,22.9,18.1,V,0.46,0.038,0.19,1.4311,1.5848,14.25,1.5652,1.5373,0.0
2026-03-24T14:48:48.153,1490052,22.9,18.1,V,0.46,0.038,0.191,1.4322,1.5845,14.12,1.5657,1.5455,0.0
2026-03-24T14:48:49.181,1491076,22.9,18.1,V,0.46,0.038,0.191,1.4307,1.5846,14.27,1.5663,1.5475,0.0
2026-03-24T14:48:50.204,1492100,22.9,18.1,V,0.46,0.038,0.192,1.4301,1.5844,14.31,1.565,1.5328,0.0
2026-03-24T14:48:51.227,1493124,22.9,18.0,V,0.46,0.039,0.192,1.4301,1.5851,14.38,1.5653,1.5351,0.0
2026-03-24T14:48:52.249,1494148,22.9,18.0,V,0.46,0.038,0.191,1.4311,1.5842,14.2,1.5648,1.5401,0.0
2026-03-24T14:48:53.273,1495172,22.9,18.0,V,0.459,0.038,0.191,1.4298,1.5827,14.18,1.5658,1.5421,0.0
2026-03-24T14:48:54.297,1496196,22.8,18.0,V,0.458,0.038,0.192,1.4319,1.5838,14.09,1.5655,1.5395,0.0
2026-03-24T14:48:55.321,1497220,22.9,17.9,V,0.458,0.038,0.192,1.431,1.5848,14.26,1.5657,1.5378,0.0
2026-03-24T14:48:56.345,1498244,22.8,17.9,V,0.458,0.038,0.191,1.4306,1.5846,14.28,1.5649,1.5372,0.0
2026-03-24T14:48:57.369,1499268,22.9,17.9,V,0.458,0.038,0.191,1.4311,1.5838,14.16,1.5653,1.5428,0.0
2026-03-24T14:48:58.393,1500292,22.9,17.9,V,0.458,0.038,0.191,1.4308,1.5847,14.27,1.5651,1.5507,0.0
2026-03-24T14:48:59.417,1501316,22.8,17.9,V,0.458,0.038,0.192,1.4324,1.5845,14.11,1.5664,1.5186,0.0
2026-03-24T14:49:00.441,1502340,22.8,18.2,V,0.461,0.038,0.195,1.4316,1.5838,14.12,1.566,1.4142,0.0
2026-03-24T14:49:01.465,1503364,22.8,18.9,V,0.464,0.041,0.204,1.4324,1.5889,14.52,1.5656,1.8249,48.44
2026-03-24T14:49:02.489,1504388,22.9,19.4,V,0.464,0.039,0.199,1.4288,1.575,13.56,1.5635,0.2865,0.0
2026-03-24T14:49:03.513,1505412,22.8,19.8,V,0.466,0.042,0.208,1.4317,1.5809,13.84,1.5662,1.1559,0.0
2026-03-24T14:49:04.537,1506436,22.9,20.3,V,0.468,0.044,0.21,1.4289,1.5854,14.51,1.5634,2.2307,124.66
2026-03-24T14:49:05.561,1507460,22.9,20.8,V,0.47,0.044,0.217,1.4307,1.5886,14.64,1.5613,1.6317,13.15
2026-03-24T14:49:06.585,1508484,22.9,22.3,V,0.469,0.043,0.226,1.4243,1.5774,14.2,1.5603,2.2707,132.69
2026-03-24T14:49:07.609,1509508,22.9,24.9,V,0.462,0.036,0.232,1.422,1.5817,14.81,1.5591,1.054,0.0
2026-03-24T14:49:08.633,1510532,22.9,26.9,V,0.474,0.043,0.226,1.4232,1.5802,14.56,1.5593,2.013,84.76
2026-03-24T14:49:09.657,1511556,22.9,29.8,V,0.471,0.041,0.233,1.4292,1.5779,13.8,1.5603,1.6871,23.68
2026-03-24T14:49:10.681,1512580,22.8,29.6,V,0.477,0.049,0.263,1.4264,1.5909,15.25,1.5599,2.7563,223.47
2026-03-24T14:49:11.704,1513604,22.8,31.3,V,0.477,0.041,0.239,1.4208,1.5765,14.44,1.556,1.3992,0.0
2026-03-24T14:49:12.728,1514628,22.8,29.6,V,0.477,0.04,0.232,1.4209,1.5723,14.03,1.5611,0.0069,0.0
2026-03-24T14:49:13.752,1515652,22.9,27.7,V,0.481,0.046,0.23,1.4212,1.575,14.27,1.5542,1.9362,71.36
2026-03-24T14:49:14.777,1516676,22.8,27.0,V,0.471,0.052,0.233,1.4256,1.5667,13.08,1.5554,1.2531,0.0
2026-03-24T14:49:15.801,1517700,22.8,27.1,V,0.481,0.05,0.221,1.4242,1.575,13.99,1.5581,1.924,68.35
2026-03-24T14:49:16.825,1518724,22.8,26.6,V,0.477,0.039,0.21,1.4256,1.5746,13.82,1.5596,1.1742,0.0
2026-03-24T14:49:17.848,1519748,22.8,25.8,V,0.478,0.043,0.217,1.4207,1.5829,15.04,1.5556,1.8238,50.09
2026-03-24T14:49:18.873,1520772,22.8,25.0,V,0.475,0.043,0.218,1.4198,1.5768,14.56,1.5519,2.6102,197.69
2026-03-24T14:49:19.897,1521796,22.8,24.2,V,0.471,0.032,0.206,1.4136,1.5772,15.17,1.5516,1.6644,21.06
2026-03-24T14:49:20.921,1522820,22.8,23.5,V,0.476,0.039,0.215,1.4165,1.5754,14.73,1.5508,1.615,11.98
2026-03-24T14:49:21.944,1523844,22.8,23.0,V,0.482,0.037,0.211,1.4164,1.5824,15.39,1.5533,2.4197,161.85
2026-03-24T14:49:22.968,1524868,22.8,22.6,V,0.479,0.038,0.214,1.4179,1.5703,14.13,1.5496,2.6053,197.2
2026-03-24T14:49:23.992,1525892,22.8,22.3,V,0.477,0.039,0.216,1.4193,1.5722,14.18,1.5579,1.0631,0.0
2026-03-24T14:49:25.017,1526916,22.8,22.0,V,0.488,0.041,0.218,1.4229,1.5794,14.52,1.5559,2.5936,193.83
2026-03-24T14:49:26.040,1527940,22.8,21.8,V,0.481,0.036,0.214,1.4137,1.5745,14.91,1.5503,0.6776,0.0
2026-03-24T14:49:27.064,1528964,22.8,21.7,V,0.487,0.038,0.217,1.4166,1.5683,14.07,1.5575,0.5019,0.0
2026-03-24T14:49:28.088,1529988,22.8,21.7,V,0.496,0.048,0.227,1.4202,1.5686,13.76,1.5594,0.3066,0.0
2026-03-24T14:49:29.112,1531012,22.8,21.6,V,0.501,0.051,0.234,1.4278,1.5811,14.22,1.5605,2.5131,177.94
2026-03-24T14:49:30.136,1532036,22.8,21.6,V,0.5,0.05,0.228,1.4262,1.5784,14.12,1.5602,1.749,35.25
2026-03-24T14:49:31.173,1533060,22.8,21.7,V,0.505,0.053,0.241,1.431,1.5783,13.67,1.5639,0.9905,0.0
2026-03-24T14:49:32.186,1534084,22.8,21.7,V,0.505,0.054,0.236,1.4294,1.5825,14.2,1.5594,2.0825,97.71
2026-03-24T14:49:33.210,1535108,22.8,21.7,V,0.508,0.054,0.233,1.4258,1.5828,14.56,1.563,2.5521,184.75
2026-03-24T14:49:34.236,1536132,22.8,21.7,V,0.509,0.054,0.238,1.4305,1.5979,15.52,1.5501,1.6931,26.7
2026-03-24T14:49:35.256,1537156,22.8,21.7,V,0.517,0.053,0.236,1.4323,1.5939,14.99,1.5653,2.2953,136.36
2026-03-24T14:49:36.280,1538180,22.8,21.6,V,0.514,0.053,0.237,1.4335,1.5923,14.73,1.5673,2.0828,96.28
2026-03-24T14:49:37.304,1539204,22.8,21.6,V,0.517,0.053,0.238,1.4338,1.5988,15.3,1.5705,2.0129,82.63
2026-03-24T14:49:38.328,1540228,22.8,21.6,V,0.518,0.053,0.238,1.4362,1.5962,14.84,1.5706,2.084,95.9
2026-03-24T14:49:39.352,1541252,22.8,21.5,V,0.519,0.052,0.232,1.4344,1.5963,15.01,1.5714,1.5202,0.0
2026-03-24T14:49:40.376,1542276,22.8,21.4,V,0.522,0.055,0.235,1.4382,1.5949,14.53,1.5736,1.1987,0.0
2026-03-24T14:49:41.400,1543300,22.8,21.1,V,0.525,0.055,0.235,1.4353,1.5934,14.67,1.5717,1.3392,0.0
2026-03-24T14:49:42.424,1544324,22.8,20.6,V,0.524,0.056,0.235,1.4346,1.5893,14.35,1.5704,1.4911,0.0
2026-03-24T14:49:43.448,1545348,22.8,20.4,V,0.528,0.057,0.237,1.4391,1.5934,14.31,1.5735,1.2738,0.0
2026-03-24T14:49:44.472,1546372,22.9,20.3,V,0.531,0.061,0.239,1.438,1.5924,14.32,1.5744,1.5368,0.0
2026-03-24T14:49:45.496,1547396,22.9,20.2,V,0.534,0.062,0.24,1.4372,1.5921,14.36,1.5747,1.5689,0.0
2026-03-24T14:49:46.520,1548420,22.8,20.2,V,0.533,0.062,0.24,1.4383,1.5926,14.31,1.5747,1.5652,0.0
