wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-26T13:29:14.358,2900966,23.1,34.4,V,0.979,0.125,0.387,1.4054,1.5558,13.95,1.5429,1.4465,0.0
2026-03-26T13:29:15.380,2901989,23.1,34.4,V,0.979,0.125,0.387,1.4041,1.5567,14.15,1.5423,1.4621,0.0
2026-03-26T13:29:16.403,2903012,23.2,34.4,V,0.979,0.125,0.387,1.4049,1.5561,14.02,1.5424,1.4559,0.0
2026-03-26T13:29:17.426,2904035,23.1,34.4,V,0.979,0.124,0.387,1.4047,1.5567,14.09,1.5423,1.4653,0.0
2026-03-26T13:29:18.450,2905059,23.2,34.4,V,0.979,0.126,0.387,1.4052,1.5572,14.1,1.5427,1.4624,0.0
2026-03-26T13:29:19.473,2906082,23.1,34.4,V,0.979,0.125,0.387,1.4039,1.5568,14.18,1.5421,1.4526,0.0
2026-03-26T13:29:20.497,2907106,23.2,34.4,V,0.978,0.126,0.387,1.4038,1.5587,14.36,1.5417,1.4611,0.0
2026-03-26T13:29:21.520,2908129,23.2,34.4,V,0.979,0.125,0.387,1.4049,1.5586,14.25,1.5427,1.4571,0.0
2026-03-26T13:29:22.543,2909152,23.1,34.4,V,0.978,0.125,0.387,1.4058,1.5569,14.02,1.5425,1.4492,0.0
2026-03-26T13:29:23.567,2910176,23.1,34.4,V,0.978,0.126,0.387,1.4048,1.5558,14.0,1.5426,1.4562,0.0
2026-03-26T13:29:24.591,2911200,23.2,34.4,V,0.978,0.125,0.387,1.4051,1.5566,14.05,1.5428,1.4411,0.0
2026-03-26T13:29:25.615,2912224,23.2,34.4,V,0.978,0.125,0.387,1.4043,1.5566,14.13,1.5422,1.4522,0.0
2026-03-26T13:29:26.638,2913247,23.2,34.4,V,0.977,0.125,0.387,1.4034,1.5557,14.12,1.5418,1.4389,0.0
2026-03-26T13:29:27.661,2914270,23.1,34.4,V,0.978,0.125,0.387,1.4055,1.5571,14.06,1.542,1.4545,0.0
2026-03-26T13:29:28.685,2915294,23.2,34.4,V,0.977,0.125,0.387,1.4044,1.5553,13.99,1.542,1.4526,0.0
2026-03-26T13:29:29.709,2916318,23.2,34.4,V,0.977,0.125,0.387,1.4057,1.5563,13.97,1.5423,1.4645,0.0
2026-03-26T13:29:30.732,2917341,23.1,34.4,V,0.976,0.125,0.387,1.4047,1.5567,14.1,1.5414,1.4407,0.0
2026-03-26T13:29:31.756,2918365,23.1,34.4,V,0.977,0.125,0.387,1.404,1.5551,14.01,1.5422,1.4395,0.0
2026-03-26T13:29:32.779,2919388,23.1,34.4,V,0.977,0.125,0.387,1.4045,1.5562,14.07,1.5417,1.4679,0.0
2026-03-26T13:29:33.803,2920412,23.1,34.4,V,0.977,0.125,0.387,1.4053,1.5543,13.82,1.542,1.4713,0.0
2026-03-26T13:29:34.827,2921436,23.1,34.4,V,0.976,0.125,0.387,1.4029,1.5559,14.19,1.5414,1.4601,0.0
2026-03-26T13:29:35.851,2922460,23.2,34.4,V,0.976,0.126,0.387,1.4051,1.5561,14.01,1.5426,1.464,0.0
2026-03-26T13:29:36.875,2923484,23.1,34.4,V,0.976,0.125,0.387,1.405,1.5579,14.18,1.5416,1.4437,0.0
2026-03-26T13:29:37.899,2924508,23.1,34.4,V,0.976,0.125,0.387,1.4042,1.5559,14.07,1.5411,1.462,0.0
2026-03-26T13:29:38.922,2925531,23.1,34.3,V,0.976,0.125,0.387,1.4026,1.5549,14.13,1.5412,1.4517,0.0
2026-03-26T13:29:39.946,2926555,23.1,34.4,V,0.975,0.125,0.387,1.4039,1.5562,14.13,1.5405,1.451,0.0
2026-03-26T13:29:40.970,2927579,23.1,34.3,V,0.976,0.125,0.387,1.4045,1.5559,14.04,1.5414,1.4425,0.0
2026-03-26T13:29:41.994,2928603,23.1,34.4,V,0.975,0.125,0.387,1.4052,1.5564,14.02,1.5412,1.4559,0.0
2026-03-26T13:29:43.018,2929627,23.1,34.3,V,0.975,0.125,0.386,1.4043,1.5557,14.05,1.5414,1.4639,0.0
2026-03-26T13:29:44.041,2930650,23.2,34.3,V,0.975,0.124,0.387,1.403,1.5562,14.21,1.5418,1.4588,0.0
2026-03-26T13:29:45.065,2931674,23.2,34.3,V,0.975,0.125,0.387,1.4043,1.5556,14.03,1.5409,1.4533,0.0
2026-03-26T13:29:46.089,2932698,23.1,34.3,V,0.974,0.125,0.387,1.4042,1.5542,13.91,1.5408,1.4521,0.0
2026-03-26T13:29:47.113,2933722,23.1,34.3,V,0.975,0.125,0.387,1.4043,1.5552,13.99,1.5401,1.4652,0.0
2026-03-26T13:29:48.135,2934745,23.1,34.3,V,0.974,0.124,0.386,1.4021,1.5555,14.22,1.5403,1.4465,0.0
2026-03-26T13:29:49.159,2935768,23.1,34.3,V,0.973,0.124,0.387,1.4033,1.5536,13.95,1.5409,1.4413,0.0
2026-03-26T13:29:50.182,2936791,23.1,34.3,V,0.973,0.124,0.386,1.401,1.5535,14.14,1.5404,1.4468,0.0
2026-03-26T13:29:51.204,2937814,23.1,34.4,V,0.973,0.124,0.387,1.4026,1.556,14.23,1.5399,1.4567,0.0
2026-03-26T13:29:52.228,2938838,23.1,34.3,V,0.973,0.125,0.387,1.4028,1.5552,14.13,1.5399,1.4524,0.0
2026-03-26T13:29:53.251,2939861,23.1,34.3,V,0.972,0.124,0.387,1.4039,1.5541,13.93,1.5402,1.4405,0.0
2026-03-26T13:29:54.287,2940885,23.1,34.3,V,0.972,0.125,0.387,1.4046,1.5552,13.97,1.5396,1.4585,0.0
2026-03-26T13:29:55.300,2941909,23.1,34.3,V,0.973,0.125,0.387,1.4009,1.5538,14.18,1.5394,1.4534,0.0
2026-03-26T13:29:56.324,2942932,23.1,34.3,V,0.972,0.124,0.386,1.4018,1.5542,14.13,1.5401,1.4447,0.0
2026-03-26T13:29:57.347,2943955,23.1,34.3,V,0.972,0.124,0.386,1.4027,1.5547,14.09,1.5402,1.4739,0.0
2026-03-26T13:29:58.368,2944978,23.2,34.3,V,0.971,0.124,0.387,1.4001,1.5541,14.28,1.5393,1.4528,0.0
2026-03-26T13:29:59.392,2946002,23.2,34.3,V,0.971,0.125,0.387,1.4027,1.5542,14.05,1.5398,1.4673,0.0
2026-03-26T13:30:00.415,2947025,23.1,34.3,V,0.972,0.124,0.386,1.4017,1.5541,14.14,1.5394,1.4622,0.0
2026-03-26T13:30:01.438,2948048,23.1,34.3,V,0.971,0.124,0.386,1.4009,1.5529,14.1,1.5399,1.4612,0.0
2026-03-26T13:30:02.461,2949071,23.1,34.3,V,0.971,0.124,0.387,1.4039,1.5539,13.91,1.5393,1.4634,0.0
2026-03-26T13:30:03.484,2950094,23.2,34.3,V,0.971,0.125,0.387,1.4044,1.5536,13.84,1.5397,1.4373,0.0
2026-03-26T13:30:04.508,2951118,23.1,34.3,V,0.971,0.125,0.387,1.4011,1.5524,14.03,1.54,1.4283,0.0
