wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-26T15:37:28.297,1493716,23.3,58.3,V,1.635,0.293,0.69,1.4099,1.5635,14.25,1.543,1.4789,0.0
2026-03-26T15:37:28.718,1494740,23.3,58.4,V,1.635,0.293,0.69,1.4111,1.5639,14.17,1.5425,1.4784,0.0
2026-03-26T15:37:29.742,1495764,23.3,58.5,V,1.635,0.294,0.691,1.411,1.5633,14.12,1.5426,1.4564,0.0
2026-03-26T15:37:30.766,1496788,23.3,58.6,V,1.634,0.294,0.691,1.4111,1.5638,14.16,1.5424,1.4538,0.0
2026-03-26T15:37:31.790,1497812,23.3,58.7,V,1.635,0.294,0.692,1.4106,1.5636,14.2,1.5433,1.4539,0.0
2026-03-26T15:37:32.814,1498836,23.3,58.7,V,1.635,0.293,0.692,1.4115,1.5629,14.04,1.5433,1.4465,0.0
2026-03-26T15:37:33.838,1499860,23.3,58.8,V,1.635,0.294,0.692,1.4128,1.5645,14.07,1.5435,1.4747,0.0
2026-03-26T15:37:34.862,1500884,23.3,58.8,V,1.635,0.294,0.693,1.4096,1.5627,14.2,1.5433,1.499,0.0
2026-03-26T15:37:35.886,1501908,23.3,58.8,V,1.635,0.294,0.693,1.4092,1.5642,14.37,1.5427,1.4366,0.0
2026-03-26T15:37:36.910,1502932,23.3,59.1,V,1.634,0.295,0.699,1.4113,1.5627,14.04,1.5439,1.5091,0.0
2026-03-26T15:37:37.934,1503956,23.3,59.5,V,1.628,0.29,0.693,1.4108,1.5615,13.98,1.5449,1.3948,0.0
2026-03-26T15:37:38.958,1504980,23.2,57.7,V,1.626,0.286,0.69,1.4109,1.5625,14.06,1.544,1.4405,0.0
2026-03-26T15:37:39.982,1506004,23.3,55.9,V,1.614,0.281,0.683,1.4122,1.5619,13.88,1.546,1.5552,1.73
2026-03-26T15:37:41.006,1507028,23.2,53.8,V,1.605,0.281,0.659,1.4177,1.5523,12.49,1.5539,0.1218,0.0
2026-03-26T15:37:42.030,1508052,23.3,50.3,V,1.611,0.283,0.678,1.4174,1.5563,12.88,1.5538,1.2507,0.0
2026-03-26T15:37:43.054,1509076,23.2,49.3,V,1.61,0.281,0.682,1.4184,1.5602,13.15,1.5542,1.4468,0.0
2026-03-26T15:37:44.078,1510100,23.3,49.5,V,1.609,0.281,0.686,1.4174,1.5606,13.28,1.5536,1.4968,0.0
2026-03-26T15:37:45.102,1511124,23.3,50.1,V,1.609,0.281,0.685,1.418,1.5642,13.56,1.5541,1.5025,0.0
2026-03-26T15:37:46.125,1512148,23.3,50.6,V,1.598,0.276,0.666,1.4162,1.5651,13.81,1.5546,1.6325,14.57
2026-03-26T15:37:47.150,1513172,23.2,49.1,V,1.592,0.264,0.622,1.417,1.5651,13.74,1.554,1.5708,3.15
2026-03-26T15:37:48.174,1514196,23.3,46.6,V,1.595,0.262,0.62,1.418,1.5669,13.81,1.5546,1.4824,0.0
2026-03-26T15:37:49.198,1515220,23.3,45.8,V,1.595,0.261,0.619,1.4154,1.5649,13.87,1.554,1.4653,0.0
2026-03-26T15:37:50.222,1516244,23.2,45.8,V,1.591,0.26,0.617,1.4155,1.5673,14.07,1.5545,1.5414,0.0
2026-03-26T15:37:51.245,1517268,23.3,45.9,V,1.587,0.26,0.617,1.4169,1.5669,13.91,1.5546,1.5325,0.0
2026-03-26T15:37:52.270,1518292,23.2,46.0,V,1.586,0.26,0.618,1.4171,1.5677,13.97,1.554,1.4196,0.0
2026-03-26T15:37:53.293,1519316,23.2,46.1,V,1.584,0.259,0.618,1.4183,1.5678,13.87,1.5535,1.4016,0.0
2026-03-26T15:37:54.318,1520340,23.3,46.3,V,1.583,0.259,0.619,1.4153,1.5676,14.13,1.5544,1.4308,0.0
2026-03-26T15:37:55.342,1521364,23.2,46.6,V,1.582,0.26,0.621,1.4156,1.5677,14.11,1.5532,1.481,0.0
