wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-26T14:50:24.257,63124,23.1,33.3,V,0.692,0.023,0.236,1.2947,1.4406,13.52,1.4282,1.3691,0.0
2026-03-26T14:50:24.655,64148,23.1,33.4,V,0.691,0.023,0.236,1.2964,1.4396,13.28,1.4281,1.3183,0.0
2026-03-26T14:50:25.679,65172,23.1,33.4,V,0.692,0.023,0.237,1.2956,1.4403,13.42,1.4286,1.2266,0.0
2026-03-26T14:50:26.703,66196,23.1,33.4,V,0.691,0.023,0.236,1.2957,1.4393,13.32,1.4276,1.2073,0.0
2026-03-26T14:50:27.727,67220,23.1,33.4,V,0.689,0.023,0.236,1.2944,1.4394,13.45,1.4273,1.3123,0.0
2026-03-26T14:50:28.751,68244,23.1,33.4,V,0.688,0.023,0.235,1.2947,1.4374,13.23,1.4266,1.845,78.16
2026-03-26T14:50:29.775,69268,23.1,33.4,V,0.691,0.024,0.235,1.2979,1.4474,13.86,1.4305,1.7004,50.43
2026-03-26T14:50:30.799,70292,23.1,33.4,V,0.69,0.023,0.236,1.2972,1.4434,13.56,1.4299,1.4634,6.24
2026-03-26T14:50:31.823,71316,23.1,33.4,V,0.691,0.024,0.236,1.3005,1.4482,13.71,1.431,1.5508,22.37
2026-03-26T14:50:32.847,72340,23.1,33.5,V,0.69,0.024,0.238,1.3002,1.4448,13.41,1.4315,1.337,0.0
2026-03-26T14:50:33.871,73364,23.1,33.5,V,0.69,0.023,0.237,1.3007,1.4445,13.34,1.4313,1.3132,0.0
2026-03-26T14:50:34.895,74388,23.1,33.5,V,0.689,0.023,0.236,1.2976,1.4441,13.58,1.4309,1.3372,0.0
2026-03-26T14:50:35.919,75412,23.1,33.5,V,0.689,0.023,0.236,1.2996,1.4453,13.51,1.4308,1.3818,0.0
2026-03-26T14:50:36.943,76436,23.1,33.4,V,0.688,0.023,0.237,1.297,1.4438,13.61,1.4311,1.3233,0.0
2026-03-26T14:50:37.967,77460,23.1,33.4,V,0.688,0.023,0.235,1.298,1.4427,13.42,1.4304,1.2403,0.0
2026-03-26T14:50:38.991,78484,23.1,33.4,V,0.687,0.023,0.235,1.2988,1.4429,13.37,1.4301,1.3112,0.0
2026-03-26T14:50:40.015,79508,23.1,33.4,V,0.687,0.023,0.236,1.2987,1.4418,13.27,1.43,1.2795,0.0
