wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-31T12:46:36.627,5972813,24.4,47.5,V,1.159,0.146,0.244,1.4739,1.6363,15.06,1.6227,1.5477,0.0
2026-03-31T12:46:37.651,5973837,24.4,47.5,V,1.161,0.146,0.244,1.4749,1.6364,14.98,1.6218,1.5527,0.0
2026-03-31T12:46:38.675,5974861,24.4,47.5,V,1.161,0.146,0.244,1.4733,1.6363,15.11,1.6223,1.5499,0.0
2026-03-31T12:46:39.699,5975885,24.4,47.5,V,1.163,0.146,0.244,1.4755,1.6373,15.0,1.6222,1.5467,0.0
2026-03-31T12:46:40.723,5976909,24.4,47.5,V,1.164,0.146,0.244,1.4759,1.6351,14.76,1.622,1.5505,0.0
2026-03-31T12:46:41.747,5977933,24.4,47.5,V,1.165,0.146,0.244,1.4746,1.6354,14.92,1.6223,1.5524,0.0
2026-03-31T12:46:42.771,5978957,24.4,47.5,V,1.166,0.147,0.244,1.4745,1.6363,15.0,1.6223,1.5496,0.0
2026-03-31T12:46:43.798,5979981,24.4,47.5,V,1.168,0.147,0.244,1.4755,1.6374,15.02,1.6219,1.5492,0.0
2026-03-31T12:46:44.823,5981005,24.4,47.5,V,1.169,0.147,0.244,1.4754,1.6367,14.96,1.6225,1.5513,0.0
2026-03-31T12:46:45.844,5982029,24.4,47.5,V,1.17,0.147,0.244,1.4749,1.6366,14.99,1.6216,1.5483,0.0
2026-03-31T12:46:46.869,5983053,24.4,47.5,V,1.171,0.147,0.244,1.4752,1.635,14.82,1.6218,1.5436,0.0
2026-03-31T12:46:47.893,5984077,24.4,47.5,V,1.172,0.147,0.245,1.4747,1.6359,14.95,1.6224,1.5534,0.0
2026-03-31T12:46:48.915,5985101,24.4,47.5,V,1.173,0.147,0.245,1.4739,1.6359,15.03,1.6221,1.5544,0.0
