wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-04-06T12:55:16.737,227458,21.7,27.9,V,1.207,0.032,0.062,1.4649,1.6157,13.99,1.6062,1.5404,0.0
2026-04-06T12:55:17.772,228482,21.7,27.9,V,1.207,0.031,0.062,1.4631,1.6157,14.15,1.6069,1.5455,0.0
2026-04-06T12:55:18.784,229506,21.7,27.9,V,1.206,0.032,0.062,1.464,1.6179,14.27,1.6068,1.5499,0.0
2026-04-06T12:55:19.806,230530,21.7,27.9,V,1.206,0.032,0.062,1.4659,1.6177,14.07,1.6067,1.5437,0.0
2026-04-06T12:55:20.832,231554,21.7,27.9,V,1.206,0.032,0.063,1.4653,1.6161,13.99,1.6071,1.5498,0.0
2026-04-06T12:55:21.854,232578,21.7,27.9,V,1.206,0.031,0.063,1.4625,1.6169,14.31,1.6066,1.5523,0.0
2026-04-06T12:55:22.878,233602,21.7,27.9,V,1.205,0.031,0.063,1.4653,1.6158,13.96,1.6076,1.5526,0.0
2026-04-06T12:55:23.902,234626,21.7,27.9,V,1.205,0.032,0.062,1.4655,1.6167,14.02,1.607,1.553,0.0
2026-04-06T12:55:24.926,235650,21.7,27.8,V,1.205,0.031,0.062,1.4656,1.6144,13.8,1.607,1.5441,0.0
2026-04-06T12:55:25.950,236674,21.6,27.8,V,1.205,0.031,0.063,1.4664,1.6153,13.81,1.6066,1.5466,0.0
2026-04-06T12:55:26.974,237698,21.7,27.8,V,1.204,0.032,0.063,1.4663,1.6151,13.8,1.6062,1.5418,0.0
2026-04-06T12:55:27.998,238722,21.7,27.8,V,1.204,0.031,0.063,1.4667,1.6148,13.74,1.6071,1.5456,0.0
2026-04-06T12:55:29.022,239746,21.7,27.8,V,1.204,0.031,0.063,1.4658,1.6174,14.05,1.6071,1.532,0.0
2026-04-06T12:55:30.046,240770,21.7,27.8,V,1.204,0.032,0.063,1.4655,1.6167,14.02,1.6067,1.5458,0.0
2026-04-06T12:55:31.070,241794,21.7,27.8,V,1.203,0.031,0.063,1.4667,1.6162,13.86,1.6073,1.5458,0.0
2026-04-06T12:55:32.094,242818,21.7,27.8,V,1.203,0.031,0.063,1.4655,1.6151,13.88,1.6062,1.5513,0.0
2026-04-06T12:55:33.118,243842,21.7,27.8,V,1.203,0.031,0.063,1.4629,1.6153,14.14,1.6071,1.5447,0.0
2026-04-06T12:55:34.142,244866,21.6,27.8,V,1.203,0.031,0.063,1.4654,1.6139,13.77,1.6068,1.545,0.0
2026-04-06T12:55:35.166,245890,21.7,27.8,V,1.203,0.031,0.063,1.4655,1.6156,13.92,1.6074,1.5428,0.0
2026-04-06T12:55:36.190,246914,21.7,27.8,V,1.202,0.03,0.063,1.4648,1.6161,14.04,1.6067,1.5424,0.0
2026-04-06T12:55:37.214,247938,21.7,27.8,V,1.202,0.031,0.063,1.4633,1.6153,14.09,1.6071,1.543,0.0
2026-04-06T12:55:38.238,248962,21.7,27.7,V,1.202,0.03,0.063,1.4634,1.614,13.96,1.607,1.544,0.0
2026-04-06T12:55:39.262,249986,21.7,27.7,V,1.202,0.03,0.063,1.4642,1.617,14.16,1.6068,1.5486,0.0
2026-04-06T12:55:40.286,251010,21.6,27.7,V,1.202,0.031,0.063,1.4653,1.6154,13.92,1.6064,1.5534,0.0
2026-04-06T12:55:41.310,252034,21.7,27.7,V,1.201,0.031,0.063,1.466,1.615,13.82,1.6067,1.5466,0.0
2026-04-06T12:55:42.334,253058,21.6,27.7,V,1.201,0.03,0.063,1.4641,1.6151,14.0,1.606,1.5393,0.0
2026-04-06T12:55:43.358,254082,21.6,27.7,V,1.201,0.03,0.063,1.4656,1.6144,13.8,1.6069,1.5441,0.0
2026-04-06T12:55:44.382,255106,21.6,27.7,V,1.201,0.03,0.063,1.4657,1.6158,13.92,1.6063,1.5501,0.0
2026-04-06T12:55:45.406,256130,21.6,27.7,V,1.2,0.03,0.063,1.4639,1.6152,14.03,1.6071,1.5387,0.0
2026-04-06T12:55:46.430,257154,21.7,27.7,V,1.2,0.03,0.063,1.4662,1.6158,13.87,1.6072,1.5423,0.0
2026-04-06T12:55:47.454,258178,21.6,27.7,V,1.201,0.03,0.063,1.4648,1.6146,13.9,1.6072,1.5455,0.0
2026-04-06T12:55:48.478,259202,21.6,27.7,V,1.2,0.03,0.063,1.4639,1.6154,14.05,1.6066,1.5446,0.0
2026-04-06T12:55:49.502,260226,21.6,27.7,V,1.2,0.03,0.063,1.4634,1.6165,14.2,1.606,1.5437,0.0
2026-04-06T12:55:50.525,261250,21.6,27.7,V,1.2,0.03,0.063,1.4633,1.6153,14.1,1.6068,1.5463,0.0
2026-04-06T12:55:51.550,262274,21.6,27.7,V,1.199,0.029,0.063,1.4653,1.6151,13.89,1.607,1.5366,0.0
2026-04-06T12:55:52.574,263298,21.6,27.7,V,1.2,0.03,0.064,1.4647,1.6147,13.91,1.6069,1.5463,0.0
2026-04-06T12:55:53.598,264322,21.6,27.7,V,1.199,0.029,0.063,1.4656,1.6149,13.84,1.6064,1.545,0.0
2026-04-06T12:55:54.622,265346,21.6,27.7,V,1.199,0.029,0.063,1.4662,1.6165,13.94,1.6068,1.543,0.0
2026-04-06T12:55:55.646,266370,21.6,27.6,V,1.199,0.029,0.063,1.4656,1.6151,13.86,1.6076,1.5417,0.0
2026-04-06T12:55:56.670,267394,21.6,27.6,V,1.199,0.03,0.064,1.4662,1.6147,13.78,1.6071,1.5428,0.0
2026-04-06T12:55:57.693,268418,21.6,27.6,V,1.198,0.029,0.063,1.4665,1.6172,13.97,1.6072,1.553,0.0
2026-04-06T12:55:58.717,269442,21.6,27.6,V,1.198,0.03,0.064,1.4627,1.6164,14.25,1.606,1.5446,0.0
2026-04-06T12:55:59.741,270466,21.6,27.6,V,1.198,0.029,0.063,1.4645,1.6163,14.08,1.6074,1.5463,0.0
2026-04-06T12:56:00.783,271490,21.6,27.6,V,1.198,0.029,0.064,1.4666,1.6156,13.82,1.6071,1.5447,0.0
2026-04-06T12:56:01.790,272514,21.6,27.6,V,1.197,0.029,0.063,1.4661,1.6159,13.9,1.6073,1.5467,0.0
2026-04-06T12:56:02.820,273538,21.6,27.6,V,1.197,0.03,0.064,1.4638,1.6163,14.15,1.6075,1.5457,0.0
2026-04-06T12:56:03.845,274562,21.6,27.6,V,1.197,0.029,0.064,1.4644,1.6168,14.13,1.6064,1.5404,0.0
2026-04-06T12:56:04.861,275586,21.6,27.6,V,1.197,0.029,0.064,1.4653,1.6169,14.06,1.6061,1.5409,0.0
2026-04-06T12:56:05.885,276610,21.6,27.6,V,1.197,0.029,0.063,1.4645,1.6152,13.97,1.6063,1.5421,0.0
2026-04-06T12:56:06.909,277634,21.6,27.6,V,1.197,0.029,0.063,1.4636,1.6157,14.11,1.6065,1.5479,0.0
2026-04-06T12:56:07.933,278658,21.6,27.6,V,1.196,0.029,0.064,1.4647,1.6171,14.14,1.6067,1.5516,0.0
2026-04-06T12:56:08.957,279682,21.6,27.6,V,1.195,0.029,0.064,1.4659,1.6151,13.84,1.6061,1.5442,0.0
2026-04-06T12:56:09.981,280706,21.6,27.6,V,1.195,0.028,0.063,1.4639,1.6161,14.11,1.6066,1.5412,0.0
2026-04-06T12:56:11.005,281730,21.6,27.6,V,1.195,0.029,0.064,1.464,1.6149,14.0,1.6067,1.5455,0.0
2026-04-06T12:56:12.029,282754,21.6,27.6,V,1.195,0.028,0.063,1.4673,1.6154,13.74,1.6061,1.54,0.0
2026-04-06T12:56:13.053,283778,21.6,27.6,V,1.195,0.029,0.064,1.4626,1.6157,14.2,1.6059,1.5487,0.0
2026-04-06T12:56:14.077,284802,21.5,27.6,V,1.194,0.029,0.064,1.4642,1.6152,14.0,1.6065,1.5469,0.0
2026-04-06T12:56:15.101,285826,21.6,27.6,V,1.194,0.029,0.064,1.4632,1.6175,14.31,1.6063,1.5429,0.0
2026-04-06T12:56:16.125,286850,21.5,27.6,V,1.194,0.028,0.064,1.4646,1.617,14.14,1.6072,1.54,0.0
2026-04-06T12:56:17.149,287874,21.6,27.6,V,1.193,0.028,0.064,1.4665,1.6156,13.83,1.6068,1.5461,0.0
2026-04-06T12:56:18.173,288898,21.5,27.5,V,1.193,0.029,0.064,1.465,1.6156,13.96,1.6058,1.5411,0.0
2026-04-06T12:56:19.197,289922,21.5,27.5,V,1.193,0.028,0.064,1.4645,1.6138,13.85,1.6074,1.5415,0.0
2026-04-06T12:56:20.221,290946,21.5,27.5,V,1.192,0.028,0.064,1.4651,1.6161,14.01,1.6066,1.5421,0.0
2026-04-06T12:56:21.245,291970,21.5,27.5,V,1.192,0.028,0.064,1.4648,1.6162,14.04,1.6063,1.539,0.0
2026-04-06T12:56:22.269,292994,21.5,27.5,V,1.192,0.028,0.064,1.4659,1.6149,13.82,1.6065,1.5484,0.0
2026-04-06T12:56:23.293,294018,21.5,27.5,V,1.191,0.028,0.064,1.4658,1.6156,13.9,1.6064,1.5412,0.0
