wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-04-21T15:09:01.052,6847422,22.5,30.2,V,1.651,0.118,0.202,1.4587,1.6157,14.56,1.6055,1.5312,0.0
2026-04-21T15:09:02.076,6848446,22.5,30.3,V,1.652,0.118,0.202,1.4593,1.6154,14.47,1.6063,1.5293,0.0
2026-04-21T15:09:03.100,6849470,22.5,30.2,V,1.651,0.118,0.201,1.4591,1.6148,14.44,1.6064,1.535,0.0
2026-04-21T15:09:04.124,6850494,22.5,30.2,V,1.651,0.118,0.202,1.4589,1.6132,14.31,1.6056,1.5363,0.0
2026-04-21T15:09:05.148,6851518,22.5,30.2,V,1.65,0.118,0.202,1.4586,1.6156,14.55,1.6055,1.5342,0.0
2026-04-21T15:09:06.172,6852542,22.5,30.3,V,1.652,0.118,0.201,1.4592,1.614,14.36,1.6058,1.5324,0.0
2026-04-21T15:09:07.196,6853566,22.5,30.2,V,1.651,0.118,0.202,1.4601,1.6153,14.39,1.6065,1.5339,0.0
2026-04-21T15:09:08.220,6854590,22.5,30.2,V,1.651,0.118,0.201,1.4593,1.6152,14.46,1.6062,1.526,0.0
2026-04-21T15:09:09.257,6855614,22.5,30.2,V,1.652,0.118,0.202,1.4589,1.6141,14.4,1.6051,1.5285,0.0
2026-04-21T15:09:10.274,6856638,22.5,30.2,V,1.651,0.118,0.202,1.4599,1.6147,14.35,1.6058,1.5362,0.0
2026-04-21T15:09:11.297,6857662,22.5,30.2,V,1.652,0.118,0.202,1.46,1.6145,14.33,1.6058,1.5343,0.0
2026-04-21T15:09:12.321,6858686,22.5,30.2,V,1.651,0.118,0.203,1.4591,1.6156,14.51,1.605,1.5343,0.0
2026-04-21T15:09:13.339,6859710,22.5,30.2,V,1.652,0.118,0.203,1.4591,1.616,14.54,1.6054,1.5377,0.0
2026-04-21T15:09:14.363,6860734,22.5,30.2,V,1.652,0.118,0.203,1.4599,1.6161,14.49,1.6053,1.5342,0.0
2026-04-21T15:09:15.387,6861758,22.5,30.2,V,1.652,0.119,0.203,1.46,1.6158,14.44,1.6064,1.5322,0.0
2026-04-21T15:09:16.411,6862782,22.5,30.2,V,1.652,0.118,0.203,1.4597,1.615,14.4,1.6056,1.5364,0.0
2026-04-21T15:09:17.435,6863806,22.5,30.2,V,1.652,0.118,0.203,1.4593,1.6153,14.47,1.6052,1.5343,0.0
2026-04-21T15:09:18.459,6864830,22.5,30.2,V,1.652,0.118,0.202,1.4586,1.6146,14.47,1.6056,1.5307,0.0
2026-04-21T15:09:19.483,6865854,22.5,30.2,V,1.653,0.118,0.203,1.4586,1.6145,14.46,1.6055,1.5322,0.0
2026-04-21T15:09:20.507,6866878,22.5,30.2,V,1.652,0.119,0.202,1.4601,1.6163,14.48,1.606,1.5325,0.0
2026-04-21T15:09:21.531,6867902,22.5,30.2,V,1.653,0.118,0.203,1.4592,1.6155,14.49,1.6051,1.5341,0.0
2026-04-21T15:09:22.555,6868926,22.5,30.2,V,1.652,0.118,0.203,1.4591,1.6146,14.42,1.6054,1.5282,0.0
2026-04-21T15:09:23.580,6869950,22.5,30.2,V,1.652,0.119,0.203,1.4602,1.6137,14.23,1.6064,1.5317,0.0
2026-04-21T15:09:24.603,6870974,22.5,30.2,V,1.652,0.118,0.202,1.4595,1.6149,14.41,1.6045,1.536,0.0
2026-04-21T15:09:25.627,6871998,22.5,30.2,V,1.652,0.119,0.203,1.4596,1.6162,14.52,1.6065,1.5266,0.0
2026-04-21T15:09:26.651,6873022,22.5,30.2,V,1.654,0.118,0.203,1.4589,1.6147,14.45,1.606,1.5403,0.0
2026-04-21T15:09:27.675,6874046,22.5,30.2,V,1.653,0.118,0.204,1.4584,1.6153,14.55,1.6054,1.5289,0.0
2026-04-21T15:09:28.699,6875070,22.5,30.2,V,1.654,0.118,0.203,1.4598,1.6161,14.5,1.6061,1.5344,0.0
2026-04-21T15:09:29.723,6876094,22.5,30.2,V,1.653,0.118,0.203,1.4597,1.6142,14.33,1.6051,1.5374,0.0
2026-04-21T15:09:30.747,6877118,22.5,30.2,V,1.652,0.119,0.203,1.459,1.6146,14.43,1.6058,1.5388,0.0
2026-04-21T15:09:31.771,6878142,22.5,30.2,V,1.653,0.119,0.204,1.4589,1.6147,14.45,1.6064,1.5279,0.0
2026-04-21T15:09:32.795,6879166,22.5,30.2,V,1.653,0.118,0.204,1.4592,1.6145,14.41,1.6057,1.5372,0.0
2026-04-21T15:09:33.819,6880190,22.5,30.2,V,1.653,0.119,0.204,1.4579,1.6141,14.48,1.6059,1.5297,0.0
2026-04-21T15:09:34.843,6881214,22.5,30.2,V,1.653,0.119,0.204,1.4584,1.6146,14.49,1.6064,1.5319,0.0
2026-04-21T15:09:35.867,6882238,22.5,30.2,V,1.653,0.119,0.204,1.4601,1.6163,14.49,1.6059,1.5308,0.0
2026-04-21T15:09:36.891,6883262,22.5,30.2,V,1.653,0.119,0.203,1.4597,1.6149,14.4,1.6064,1.5289,0.0
2026-04-21T15:09:37.915,6884286,22.5,30.2,V,1.653,0.118,0.204,1.459,1.615,14.47,1.606,1.5331,0.0
2026-04-21T15:09:38.939,6885310,22.5,30.2,V,1.654,0.119,0.204,1.4603,1.6143,14.28,1.6065,1.5318,0.0
2026-04-21T15:09:39.963,6886334,22.5,30.2,V,1.653,0.119,0.203,1.4599,1.6135,14.25,1.6059,1.5363,0.0
2026-04-21T15:09:40.987,6887358,22.5,30.2,V,1.654,0.119,0.204,1.4594,1.6146,14.39,1.6068,1.5306,0.0
2026-04-21T15:09:42.011,6888382,22.5,30.2,V,1.654,0.119,0.204,1.4585,1.6152,14.53,1.6057,1.5333,0.0
2026-04-21T15:09:43.035,6889406,22.5,30.2,V,1.654,0.119,0.205,1.4591,1.6141,14.37,1.6063,1.5402,0.0
2026-04-21T15:09:44.059,6890430,22.5,30.2,V,1.655,0.119,0.204,1.4602,1.6158,14.44,1.606,1.53,0.0
2026-04-21T15:09:45.083,6891454,22.5,30.2,V,1.653,0.119,0.204,1.4593,1.616,14.53,1.6061,1.5361,0.0
2026-04-21T15:09:46.108,6892478,22.5,30.2,V,1.653,0.119,0.204,1.4592,1.6161,14.55,1.6059,1.5317,0.0
2026-04-21T15:09:47.131,6893502,22.5,30.2,V,1.655,0.119,0.204,1.4588,1.6144,14.43,1.6063,1.5294,0.0
2026-04-21T15:09:48.155,6894526,22.5,30.2,V,1.654,0.119,0.204,1.46,1.6149,14.37,1.6063,1.5363,0.0
2026-04-21T15:09:49.179,6895550,22.5,30.2,V,1.655,0.119,0.204,1.4594,1.6152,14.45,1.606,1.5308,0.0
2026-04-21T15:09:50.203,6896574,22.5,30.2,V,1.654,0.119,0.205,1.4587,1.6154,14.53,1.6061,1.5316,0.0
2026-04-21T15:09:51.226,6897598,22.5,30.2,V,1.654,0.119,0.204,1.4603,1.6147,14.32,1.6062,1.5348,0.0
2026-04-21T15:09:52.250,6898622,22.5,30.2,V,1.654,0.119,0.205,1.4591,1.6141,14.38,1.6054,1.5331,0.0
2026-04-21T15:09:53.276,6899646,22.5,30.2,V,1.654,0.119,0.205,1.4594,1.6143,14.37,1.6061,1.5357,0.0
2026-04-21T15:09:54.303,6900670,22.5,30.2,V,1.655,0.119,0.204,1.4601,1.6144,14.31,1.605,1.5377,0.0
