wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-04-24T16:20:02.525,10346039,22.8,29.8,V,0.688,0.0,0.1,1.46,1.6122,14.11,1.6049,1.5196,0.0
2026-04-24T16:20:03.288,10347062,22.8,29.8,V,0.693,0.0,0.1,1.4594,1.6121,14.17,1.6051,1.5255,0.0
2026-04-24T16:20:04.312,10348086,22.8,29.7,V,0.698,0.0,0.1,1.4594,1.612,14.16,1.6049,1.5265,0.0
2026-04-24T16:20:05.335,10349109,22.8,29.7,V,0.703,0.0,0.1,1.4587,1.6114,14.16,1.6054,1.534,0.0
2026-04-24T16:20:06.358,10350132,22.8,29.7,V,0.707,0.0,0.101,1.4599,1.6119,14.1,1.6046,1.5237,0.0
2026-04-24T16:20:07.381,10351155,22.8,29.7,V,0.71,0.0,0.101,1.4601,1.6116,14.04,1.605,1.5315,0.0
2026-04-24T16:20:08.404,10352178,22.8,29.6,V,0.714,0.0,0.102,1.4596,1.6113,14.07,1.605,1.5256,0.0
2026-04-24T16:20:09.427,10353201,22.8,29.6,V,0.719,0.0,0.102,1.4589,1.6116,14.16,1.6046,1.5331,0.0
2026-04-24T16:20:10.450,10354224,22.8,29.6,V,0.723,0.0,0.103,1.4587,1.6111,14.13,1.6042,1.5279,0.0
2026-04-24T16:20:11.473,10355247,22.8,29.6,V,0.727,0.0,0.103,1.4601,1.6109,13.99,1.6052,1.5318,0.0
2026-04-24T16:20:12.496,10356270,22.8,29.5,V,0.731,0.0,0.103,1.4595,1.6117,14.12,1.6046,1.5238,0.0
2026-04-24T16:20:13.519,10357293,22.8,29.5,V,0.735,0.0,0.104,1.4603,1.6117,14.04,1.6047,1.5328,0.0
2026-04-24T16:20:14.543,10358317,22.8,29.5,V,0.738,0.0,0.104,1.4585,1.6112,14.17,1.6046,1.536,0.0
2026-04-24T16:20:15.566,10359340,22.8,29.5,V,0.742,0.0,0.104,1.4591,1.6129,14.27,1.6042,1.5312,0.0
2026-04-24T16:20:16.588,10360363,22.8,29.4,V,0.747,0.0,0.104,1.4601,1.6112,14.01,1.6042,1.5238,0.0
2026-04-24T16:20:17.611,10361386,22.8,29.4,V,0.751,0.0,0.104,1.459,1.6123,14.21,1.6046,1.5246,0.0
2026-04-24T16:20:18.635,10362409,22.8,29.4,V,0.755,0.0,0.104,1.4587,1.6115,14.17,1.6042,1.5266,0.0
2026-04-24T16:20:19.657,10363432,22.8,29.4,V,0.759,0.0,0.105,1.4593,1.6111,14.07,1.6042,1.5209,0.0
2026-04-24T16:20:20.680,10364455,22.8,29.3,V,0.761,0.0,0.105,1.4569,1.6118,14.36,1.6049,1.5276,0.0
2026-04-24T16:20:21.704,10365478,22.8,29.3,V,0.765,0.0,0.106,1.4594,1.6101,13.97,1.605,1.5382,0.0
2026-04-24T16:20:22.726,10366501,22.8,29.3,V,0.77,0.0,0.106,1.4598,1.611,14.02,1.6054,1.5228,0.0
