wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-04-27T15:28:52.029,719999,22.5,34.3,V,0.77,0.0,0.047,1.4531,1.6088,14.44,1.5962,1.5394,0.0
2026-04-27T15:28:52.237,721022,22.5,34.3,V,0.77,0.0,0.048,1.4527,1.6103,14.62,1.5965,1.5485,0.0
2026-04-27T15:28:53.251,722045,22.5,34.3,V,0.769,0.0,0.046,1.4538,1.608,14.3,1.5958,1.5461,0.0
2026-04-27T15:28:54.274,723068,22.5,34.3,V,0.769,0.0,0.047,1.4554,1.6106,14.4,1.5959,1.5408,0.0
2026-04-27T15:28:55.297,724091,22.5,34.3,V,0.769,0.0,0.047,1.4551,1.6091,14.28,1.5963,1.538,0.0
2026-04-27T15:28:56.323,725114,22.5,34.3,V,0.768,0.0,0.047,1.4536,1.6094,14.45,1.5951,1.5359,0.0
2026-04-27T15:28:57.342,726137,22.5,34.3,V,0.767,0.0,0.047,1.4534,1.6096,14.48,1.596,1.5496,0.0
2026-04-27T15:28:58.365,727160,22.5,34.3,V,0.767,0.0,0.046,1.4542,1.6097,14.42,1.5957,1.5428,0.0
2026-04-27T15:28:59.395,728183,22.5,34.3,V,0.768,0.0,0.047,1.4534,1.6091,14.44,1.5963,1.5415,0.0
2026-04-27T15:29:00.416,729206,22.5,34.3,V,0.767,0.0,0.047,1.4534,1.6084,14.37,1.5958,1.546,0.0
2026-04-27T15:29:01.437,730229,22.5,34.3,V,0.766,0.0,0.048,1.4542,1.608,14.26,1.5951,1.5421,0.0
2026-04-27T15:29:02.458,731252,22.5,34.3,V,0.766,0.0,0.047,1.4537,1.6088,14.39,1.5958,1.547,0.0
2026-04-27T15:29:03.480,732275,22.5,34.3,V,0.765,0.0,0.047,1.4537,1.609,14.41,1.5958,1.5436,0.0
2026-04-27T15:29:04.503,733298,22.5,34.3,V,0.765,0.0,0.047,1.4535,1.6075,14.29,1.596,1.5381,0.0
2026-04-27T15:29:05.526,734321,22.5,34.3,V,0.765,0.0,0.047,1.4543,1.6085,14.3,1.5962,1.5438,0.0
2026-04-27T15:29:06.549,735344,22.5,34.3,V,0.764,0.0,0.048,1.4536,1.6079,14.31,1.5954,1.5489,0.0
2026-04-27T15:29:07.572,736367,22.5,34.3,V,0.764,0.0,0.047,1.4537,1.6095,14.45,1.5959,1.5494,0.0
2026-04-27T15:29:08.595,737390,22.5,34.3,V,0.764,0.0,0.047,1.4543,1.6068,14.14,1.5959,1.5577,0.0
2026-04-27T15:29:09.618,738413,22.5,34.3,V,0.763,0.0,0.047,1.4545,1.6083,14.26,1.596,1.539,0.0
2026-04-27T15:29:10.641,739436,22.5,34.3,V,0.763,0.0,0.048,1.4537,1.61,14.5,1.5959,1.5425,0.0
2026-04-27T15:29:11.664,740459,22.5,34.3,V,0.763,0.0,0.047,1.4537,1.6105,14.54,1.5967,1.5432,0.0
2026-04-27T15:29:12.687,741482,22.5,34.3,V,0.762,0.0,0.047,1.4527,1.6082,14.42,1.5957,1.5445,0.0
2026-04-27T15:29:13.710,742505,22.5,34.3,V,0.762,0.0,0.047,1.4545,1.6096,14.38,1.5957,1.541,0.0
2026-04-27T15:29:14.733,743528,22.5,34.3,V,0.762,0.0,0.048,1.4542,1.6099,14.44,1.5963,1.5386,0.0
2026-04-27T15:29:15.756,744551,22.5,34.3,V,0.761,0.0,0.047,1.4542,1.608,14.26,1.597,1.5331,0.0
2026-04-27T15:29:16.779,745574,22.5,34.3,V,0.761,0.0,0.048,1.4524,1.6084,14.47,1.5958,1.5465,0.0
2026-04-27T15:29:17.802,746597,22.5,34.3,V,0.76,0.0,0.047,1.4524,1.6072,14.36,1.5965,1.5451,0.0
2026-04-27T15:29:18.825,747620,22.5,34.2,V,0.76,0.0,0.047,1.4524,1.6088,14.5,1.5961,1.5402,0.0
2026-04-27T15:29:19.848,748643,22.5,34.2,V,0.76,0.0,0.048,1.4516,1.609,14.59,1.5961,1.5399,0.0
2026-04-27T15:29:20.871,749666,22.5,34.2,V,0.76,0.0,0.047,1.4525,1.6102,14.62,1.5961,1.5403,0.0
