wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-05-18T12:53:53.326,435596,23.4,58.8,V,1.161,0.0,0.087,1.4598,1.6191,14.78,1.6069,1.5273,0.0
2026-05-18T12:53:54.348,436619,23.4,58.8,V,1.161,0.0,0.086,1.4599,1.6198,14.83,1.6069,1.5496,0.0
2026-05-18T12:53:55.372,437643,23.4,58.8,V,1.16,0.0,0.086,1.4603,1.6176,14.59,1.6067,1.5602,0.0
2026-05-18T12:53:56.396,438667,23.4,58.8,V,1.158,0.0,0.087,1.4604,1.6196,14.77,1.6074,1.5564,0.0
2026-05-18T12:53:57.420,439691,23.4,58.8,V,1.158,0.0,0.087,1.4616,1.6189,14.59,1.6074,1.557,0.0
2026-05-18T12:53:58.444,440715,23.4,58.8,V,1.157,0.0,0.086,1.46,1.6181,14.66,1.6065,1.557,0.0
2026-05-18T12:53:59.467,441738,23.4,58.8,V,1.157,0.0,0.087,1.4592,1.6179,14.71,1.607,1.5665,0.0
2026-05-18T12:54:00.491,442762,23.4,58.8,V,1.156,0.0,0.086,1.4613,1.6186,14.58,1.6067,1.5534,0.0
2026-05-18T12:54:01.515,443786,23.4,58.8,V,1.155,0.0,0.086,1.4609,1.6206,14.81,1.6071,1.5553,0.0
2026-05-18T12:54:02.539,444810,23.4,58.8,V,1.154,0.0,0.086,1.4611,1.6177,14.53,1.6066,1.5587,0.0
2026-05-18T12:54:03.562,445833,23.4,58.8,V,1.153,0.0,0.086,1.4607,1.6196,14.73,1.6064,1.5657,0.0
2026-05-18T12:54:04.585,446856,23.4,58.8,V,1.153,0.0,0.086,1.4615,1.6187,14.59,1.6066,1.5557,0.0
2026-05-18T12:54:05.609,447880,23.4,58.8,V,1.153,0.0,0.086,1.46,1.6171,14.57,1.6071,1.5565,0.0
2026-05-18T12:54:06.632,448903,23.4,58.8,V,1.152,0.0,0.086,1.4609,1.6183,14.6,1.6073,1.5625,0.0
2026-05-18T12:54:07.656,449927,23.4,58.8,V,1.152,0.0,0.086,1.4613,1.6172,14.46,1.6075,1.558,0.0
2026-05-18T12:54:08.680,450951,23.4,58.8,V,1.151,0.0,0.087,1.4605,1.6196,14.76,1.6069,1.5516,0.0
2026-05-18T12:54:09.703,451974,23.4,58.8,V,1.151,0.0,0.086,1.4625,1.6186,14.48,1.6077,1.5608,0.0
2026-05-18T12:54:10.727,452998,23.4,58.8,V,1.15,0.0,0.087,1.4599,1.6202,14.87,1.6077,1.5628,0.0
2026-05-18T12:54:11.751,454022,23.4,58.8,V,1.149,0.0,0.086,1.4586,1.6152,14.53,1.6071,1.5575,0.0
2026-05-18T12:54:12.774,455045,23.4,58.8,V,1.149,0.0,0.087,1.4616,1.6195,14.64,1.6065,1.5639,0.0
2026-05-18T12:54:13.798,456069,23.4,58.8,V,1.148,0.0,0.087,1.4607,1.6203,14.81,1.6071,1.5581,0.0
2026-05-18T12:54:14.828,457093,23.4,58.8,V,1.149,0.0,0.086,1.461,1.6194,14.69,1.6076,1.5523,0.0
2026-05-18T12:54:15.850,458116,23.4,58.8,V,1.148,0.0,0.086,1.4607,1.618,14.6,1.6073,1.5557,0.0
2026-05-18T12:54:16.873,459140,23.4,58.8,V,1.147,0.0,0.086,1.4595,1.6203,14.92,1.6074,1.5595,0.0
2026-05-18T12:54:17.897,460163,23.4,58.8,V,1.147,0.0,0.087,1.4608,1.6196,14.73,1.6069,1.5496,0.0
2026-05-18T12:54:18.917,461187,23.4,58.8,V,1.147,0.0,0.086,1.4593,1.6179,14.72,1.6067,1.5576,0.0
2026-05-18T12:54:19.939,462211,23.4,58.8,V,1.146,0.0,0.086,1.4603,1.618,14.62,1.6074,1.5585,0.0
2026-05-18T12:54:20.962,463234,23.4,58.8,V,1.146,0.0,0.086,1.4608,1.6181,14.58,1.6078,1.5534,0.0
2026-05-18T12:54:21.986,464258,23.4,58.8,V,1.145,0.0,0.087,1.462,1.6196,14.61,1.6074,1.5519,0.0
2026-05-18T12:54:23.010,465282,23.4,58.8,V,1.145,0.0,0.086,1.4615,1.6188,14.59,1.6062,1.5454,0.0
2026-05-18T12:54:24.034,466306,23.4,58.8,V,1.144,0.0,0.086,1.4597,1.6184,14.72,1.6077,1.5617,0.0
2026-05-18T12:54:25.067,467329,23.4,58.8,V,1.144,0.0,0.086,1.46,1.6216,14.99,1.6074,1.5677,0.0
2026-05-18T12:54:26.086,468353,23.4,58.8,V,1.143,0.0,0.086,1.4613,1.6201,14.72,1.6069,1.5623,0.0
2026-05-18T12:54:27.104,469376,23.4,58.8,V,1.143,0.0,0.087,1.4626,1.6184,14.45,1.6071,1.5535,0.0
2026-05-18T12:54:28.127,470399,23.4,58.7,V,1.141,0.0,0.086,1.4605,1.6174,14.55,1.6068,1.5609,0.0
2026-05-18T12:54:29.151,471423,23.4,58.7,V,1.141,0.0,0.087,1.4614,1.6182,14.55,1.6074,1.5613,0.0
2026-05-18T12:54:30.175,472447,23.4,58.8,V,1.141,0.0,0.087,1.4601,1.6192,14.76,1.6071,1.5571,0.0
2026-05-18T12:54:31.199,473471,23.4,58.7,V,1.14,0.0,0.086,1.4605,1.62,14.8,1.6074,1.5551,0.0
2026-05-18T12:54:32.222,474494,23.4,58.7,V,1.14,0.0,0.086,1.4595,1.6192,14.82,1.6075,1.5602,0.0
2026-05-18T12:54:33.245,475517,23.4,58.7,V,1.139,0.0,0.086,1.4598,1.6182,14.68,1.6069,1.5629,0.0
2026-05-18T12:54:34.269,476541,23.4,58.7,V,1.138,0.0,0.087,1.4619,1.6181,14.49,1.6067,1.5496,0.0
2026-05-18T12:54:35.293,477565,23.4,58.7,V,1.137,0.0,0.086,1.4616,1.6194,14.64,1.6064,1.5602,0.0
2026-05-18T12:54:36.317,478589,23.4,58.7,V,1.137,0.0,0.086,1.4618,1.6193,14.61,1.6074,1.5576,0.0
2026-05-18T12:54:37.341,479613,23.4,58.7,V,1.137,0.0,0.086,1.4608,1.6178,14.56,1.6067,1.556,0.0
2026-05-18T12:54:38.364,480636,23.4,58.7,V,1.136,0.0,0.087,1.4611,1.618,14.55,1.6066,1.5568,0.0
2026-05-18T12:54:39.387,481659,23.4,58.7,V,1.135,0.0,0.086,1.4603,1.6188,14.7,1.6071,1.5624,0.0
2026-05-18T12:54:40.411,482683,23.4,58.7,V,1.135,0.0,0.086,1.4614,1.6177,14.5,1.6069,1.571,0.0
2026-05-18T12:54:41.435,483707,23.4,58.7,V,1.135,0.0,0.086,1.4615,1.6146,14.2,1.607,1.5517,0.0
2026-05-18T12:54:42.458,484730,23.4,58.7,V,1.134,0.0,0.086,1.4597,1.6191,14.78,1.6072,1.5555,0.0
2026-05-18T12:54:43.482,485754,23.4,58.7,V,1.134,0.0,0.086,1.4599,1.6189,14.75,1.6076,1.5558,0.0
2026-05-18T12:54:44.505,486777,23.4,58.7,V,1.134,0.0,0.087,1.4601,1.6202,14.85,1.6078,1.5457,0.0
2026-05-18T12:54:45.529,487801,23.4,58.7,V,1.133,0.0,0.086,1.4606,1.6178,14.59,1.6074,1.5545,0.0
2026-05-18T12:54:46.553,488825,23.4,58.7,V,1.132,0.0,0.086,1.4635,1.6184,14.37,1.6075,1.56,0.0
2026-05-18T12:54:47.576,489848,23.4,58.7,V,1.133,0.0,0.086,1.4612,1.6175,14.5,1.6064,1.5612,0.0
2026-05-18T12:54:48.599,490871,23.4,58.7,V,1.132,0.0,0.086,1.4608,1.6176,14.54,1.607,1.5578,0.0
2026-05-18T12:54:49.622,491894,23.4,58.7,V,1.131,0.0,0.086,1.46,1.6185,14.7,1.6072,1.5566,0.0
2026-05-18T12:54:50.646,492918,23.4,58.7,V,1.13,0.0,0.086,1.4619,1.6168,14.37,1.6082,1.562,0.0
2026-05-18T12:54:51.670,493942,23.4,58.7,V,1.13,0.0,0.086,1.4606,1.619,14.69,1.6082,1.5554,0.0
2026-05-18T12:54:52.694,494966,23.4,58.7,V,1.13,0.0,0.087,1.4622,1.6176,14.41,1.6074,1.5544,0.0
2026-05-18T12:54:53.718,495990,23.4,58.7,V,1.129,0.0,0.087,1.4613,1.6205,14.76,1.6066,1.5559,0.0
2026-05-18T12:54:54.742,497014,23.4,58.7,V,1.128,0.0,0.086,1.4605,1.6187,14.68,1.6077,1.5534,0.0
2026-05-18T12:54:55.765,498037,23.4,58.7,V,1.128,0.0,0.087,1.4613,1.6169,14.43,1.6073,1.5504,0.0
2026-05-18T12:54:56.788,499060,23.4,58.7,V,1.127,0.0,0.086,1.4602,1.6177,14.61,1.6075,1.5509,0.0
2026-05-18T12:54:57.812,500084,23.4,58.7,V,1.127,0.0,0.086,1.4621,1.6201,14.65,1.6073,1.5483,0.0
2026-05-18T12:54:58.848,501107,23.4,58.7,V,1.126,0.0,0.086,1.463,1.6199,14.55,1.6067,1.559,0.0
2026-05-18T12:54:59.864,502131,23.4,58.7,V,1.126,0.0,0.087,1.4616,1.6168,14.39,1.6071,1.5647,0.0
2026-05-18T12:55:00.887,503154,23.4,58.7,V,1.126,0.0,0.086,1.4625,1.6182,14.43,1.6079,1.5518,0.0
2026-05-18T12:55:01.907,504178,23.4,58.7,V,1.125,0.0,0.087,1.4607,1.6195,14.72,1.608,1.5579,0.0
2026-05-18T12:55:02.933,505202,23.4,58.7,V,1.125,0.0,0.087,1.4615,1.6185,14.57,1.6076,1.5531,0.0
2026-05-18T12:55:03.953,506226,23.4,58.7,V,1.124,0.0,0.087,1.4612,1.6162,14.37,1.6077,1.5541,0.0
2026-05-18T12:55:04.983,507250,23.4,58.7,V,1.124,0.0,0.087,1.4601,1.6203,14.86,1.6078,1.5579,0.0
2026-05-18T12:55:06.001,508274,23.4,58.7,V,1.123,0.0,0.087,1.46,1.6195,14.79,1.6069,1.5567,0.0
2026-05-18T12:55:07.024,509297,23.4,58.7,V,1.123,0.0,0.086,1.4612,1.6194,14.67,1.6072,1.5546,0.0
2026-05-18T12:55:08.048,510321,23.4,58.7,V,1.123,0.0,0.087,1.4618,1.6177,14.47,1.6074,1.5536,0.0
2026-05-18T12:55:09.072,511345,23.4,58.7,V,1.122,0.0,0.087,1.4615,1.6197,14.67,1.6073,1.5465,0.0
2026-05-18T12:55:10.095,512368,23.4,58.7,V,1.122,0.0,0.087,1.4603,1.6166,14.49,1.6073,1.5454,0.0
2026-05-18T12:55:11.121,513392,23.4,58.7,V,1.121,0.0,0.086,1.4612,1.6181,14.55,1.6076,1.5586,0.0
2026-05-18T12:55:12.143,514416,23.4,58.7,V,1.121,0.0,0.086,1.4632,1.6178,14.34,1.6085,1.5524,0.0
2026-05-18T12:55:13.166,515439,23.4,58.7,V,1.121,0.0,0.087,1.4599,1.6177,14.63,1.6072,1.555,0.0
2026-05-18T12:55:14.190,516463,23.4,58.7,V,1.121,0.0,0.087,1.4602,1.6198,14.8,1.6074,1.5515,0.0
