wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-04-27T16:53:28.684,5797456,22.8,35.4,V,0.691,0.0,0.026,1.4359,1.5872,14.03,1.5861,1.5099,0.0
2026-04-27T16:53:29.546,5798479,22.8,34.5,V,0.682,0.0,0.022,1.4355,1.5877,14.11,1.5863,1.5137,0.0
2026-04-27T16:53:30.569,5799502,22.8,33.8,V,0.678,0.0,0.019,1.4357,1.5868,14.01,1.5859,1.5035,0.0
2026-04-27T16:53:31.593,5800525,22.8,33.5,V,0.671,0.0,0.016,1.4362,1.5871,14.0,1.5869,1.5807,0.0
2026-04-27T16:53:32.615,5801548,22.8,33.3,V,0.667,0.0,0.014,1.4358,1.5905,14.34,1.5865,1.5432,0.0
2026-04-27T16:53:33.638,5802571,22.8,33.2,V,0.656,0.0,0.013,1.4365,1.5894,14.18,1.5866,1.4853,0.0
2026-04-27T16:53:34.661,5803594,22.8,33.1,V,0.648,0.0,0.013,1.4266,1.5831,14.51,1.5742,0.3077,0.0
2026-04-27T16:53:35.684,5804617,22.8,34.9,V,0.65,0.0,0.014,1.433,1.5846,14.06,1.5814,1.6097,5.28
2026-04-27T16:53:36.707,5805640,22.8,35.3,V,0.649,0.0,0.015,1.431,1.5839,14.19,1.583,1.8182,43.94
2026-04-27T16:53:37.730,5806663,22.8,34.9,V,0.647,0.0,0.014,1.4324,1.5907,14.68,1.5843,1.6795,17.79
2026-04-27T16:53:38.753,5807686,22.8,34.5,V,0.641,0.0,0.012,1.432,1.5898,14.63,1.5841,1.548,0.0
2026-04-27T16:53:39.776,5808709,22.7,34.0,V,0.634,0.0,0.01,1.4323,1.5891,14.54,1.5843,1.5116,0.0
2026-04-27T16:53:40.799,5809732,22.7,33.5,V,0.629,0.0,0.008,1.4334,1.5869,14.23,1.5851,1.5078,0.0
2026-04-27T16:53:41.822,5810755,22.7,33.0,V,0.626,0.0,0.008,1.4329,1.588,14.38,1.5841,1.5064,0.0
2026-04-27T16:53:42.845,5811778,22.7,32.6,V,0.618,0.0,0.008,1.4336,1.5885,14.36,1.5841,1.5035,0.0
2026-04-27T16:53:43.868,5812801,22.7,32.5,V,0.614,0.0,0.008,1.4342,1.5889,14.34,1.5844,1.4987,0.0
2026-04-27T16:53:44.892,5813824,22.7,32.5,V,0.61,0.0,0.006,1.4337,1.5884,14.34,1.5843,1.4964,0.0
2026-04-27T16:53:45.925,5814847,22.7,32.5,V,0.605,0.0,0.005,1.4339,1.5878,14.27,1.5848,1.5004,0.0
2026-04-27T16:53:46.940,5815870,22.7,32.5,V,0.602,0.0,0.054,1.4348,1.5901,14.4,1.5846,1.5158,0.0
2026-04-27T16:53:47.960,5816893,22.7,32.8,V,0.636,0.823,1.906,1.4336,1.5903,14.54,1.585,1.5516,0.0
2026-04-27T16:53:48.986,5817917,22.7,33.5,V,1.075,3.004,2.182,1.4334,1.5907,14.59,1.5853,1.7419,29.25
2026-04-27T16:53:50.008,5818941,22.7,33.8,V,1.457,2.988,2.044,1.4339,1.5881,14.3,1.5841,1.7639,33.6
2026-04-27T16:53:51.032,5819965,22.7,34.1,V,1.551,2.708,1.938,1.4331,1.5891,14.46,1.5844,1.7864,37.74
2026-04-27T16:53:52.056,5820989,22.7,34.1,V,1.543,1.953,1.477,1.4341,1.5916,14.6,1.5846,1.7966,39.59
2026-04-27T16:53:53.080,5822013,22.7,33.9,V,1.486,1.091,1.122,1.433,1.5896,14.53,1.5846,1.8372,47.18
2026-04-27T16:53:54.104,5823037,22.7,33.3,V,1.522,0.87,0.888,1.4336,1.5906,14.56,1.5843,1.8591,51.34
2026-04-27T16:53:55.128,5824061,22.7,32.8,V,1.524,0.515,0.753,1.4346,1.5912,14.52,1.585,1.8519,49.86
2026-04-27T16:53:56.152,5825085,22.7,32.6,V,1.537,0.742,0.824,1.4354,1.5925,14.57,1.5844,1.8469,49.03
2026-04-27T16:53:57.176,5826109,22.7,32.3,V,1.507,0.671,0.82,1.4343,1.5902,14.46,1.5845,1.8296,45.78
2026-04-27T16:53:58.199,5827133,22.6,32.2,V,1.492,0.505,0.746,1.4343,1.5911,14.55,1.5841,1.8269,45.35
2026-04-27T16:53:59.223,5828157,22.7,32.1,V,1.496,0.608,0.731,1.4342,1.5912,14.56,1.5842,1.8076,41.73
