wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-12T11:33:49.065,2266871,23.4,20.8,V,0.993,0.003,0.156,1.4581,1.6205,15.06,1.5241,1.6312,20.0
2026-03-12T11:33:49.808,2267894,23.5,20.8,V,0.993,0.005,0.157,1.459,1.6201,14.94,1.5245,1.6269,19.13
2026-03-12T11:33:50.831,2268917,23.5,20.8,V,0.992,0.005,0.155,1.4583,1.6222,15.19,1.525,1.6147,16.75
2026-03-12T11:33:51.854,2269940,23.5,20.9,V,0.992,0.003,0.154,1.4589,1.621,15.03,1.5246,1.6267,19.07
2026-03-12T11:33:52.877,2270963,23.5,20.9,V,0.991,0.003,0.156,1.4585,1.623,15.25,1.5245,1.6287,19.48
2026-03-12T11:33:53.900,2271986,23.4,20.9,V,0.992,0.004,0.156,1.4582,1.6215,15.14,1.5248,1.6325,20.12
2026-03-12T11:33:54.923,2273010,23.4,20.9,V,0.991,0.003,0.155,1.4575,1.6244,15.48,1.5247,1.6251,18.76
2026-03-12T11:33:55.948,2274034,23.5,20.9,V,0.991,0.003,0.156,1.4586,1.6221,15.15,1.5245,1.64,21.57
2026-03-12T11:33:56.972,2275058,23.5,20.9,V,0.992,0.004,0.155,1.4586,1.6233,15.27,1.5252,1.6306,19.67
2026-03-12T11:33:57.996,2276082,23.5,20.9,V,0.99,0.003,0.154,1.4591,1.6252,15.41,1.5254,1.6322,19.95
2026-03-12T11:33:59.019,2277106,23.5,20.9,V,0.988,0.003,0.154,1.4592,1.6235,15.24,1.5248,1.626,18.91
2026-03-12T11:34:00.042,2278129,23.5,20.9,V,0.989,0.002,0.153,1.4601,1.6248,15.28,1.5248,1.6316,19.95
2026-03-12T11:34:01.065,2279152,23.5,21.0,V,0.989,0.002,0.156,1.4588,1.6229,15.22,1.5249,1.637,20.93
2026-03-12T11:34:02.088,2280175,23.5,21.0,V,0.988,0.003,0.154,1.4588,1.6211,15.05,1.5256,1.6297,19.44
2026-03-12T11:34:03.111,2281198,23.5,21.0,V,0.989,0.002,0.153,1.4601,1.6218,14.99,1.5238,1.6317,20.16
2026-03-12T11:34:04.135,2282222,23.5,21.1,V,0.988,0.002,0.153,1.458,1.622,15.21,1.5236,1.628,19.5
2026-03-12T11:34:05.159,2283246,23.5,21.1,V,0.989,0.003,0.154,1.4589,1.6207,15.01,1.5243,1.6368,21.0
2026-03-12T11:34:06.183,2284270,23.5,21.0,V,0.989,0.004,0.154,1.4579,1.6225,15.26,1.5244,1.6294,19.61
2026-03-12T11:34:07.207,2285294,23.5,21.0,V,0.987,0.004,0.154,1.4583,1.6211,15.1,1.5248,1.6247,18.67
2026-03-12T11:34:08.230,2286317,23.5,20.9,V,0.987,0.002,0.152,1.4593,1.6216,15.05,1.5244,1.6264,19.07
2026-03-12T11:34:09.254,2287341,23.5,20.9,V,0.988,0.002,0.154,1.4608,1.6228,15.02,1.5242,1.6335,20.4
2026-03-12T11:34:10.279,2288364,23.5,20.9,V,0.986,0.002,0.153,1.4616,1.622,14.88,1.524,1.6363,20.98
2026-03-12T11:34:11.300,2289387,23.5,20.9,V,0.985,0.003,0.154,1.4607,1.6211,14.87,1.5238,1.6282,19.51
2026-03-12T11:34:12.323,2290410,23.5,20.9,V,0.985,0.003,0.153,1.4605,1.6222,15.0,1.5242,1.6295,19.68
2026-03-12T11:34:13.346,2291433,23.5,20.9,V,0.985,0.001,0.153,1.4605,1.6231,15.08,1.5244,1.6329,20.26
2026-03-12T11:34:14.370,2292457,23.5,20.9,V,0.983,0.002,0.154,1.4608,1.621,14.86,1.5246,1.623,18.38
2026-03-12T11:34:15.394,2293481,23.5,20.9,V,0.983,0.003,0.153,1.4591,1.6214,15.05,1.5251,1.6225,18.2
2026-03-12T11:34:16.417,2294504,23.5,20.9,V,0.982,0.003,0.151,1.4608,1.6227,15.01,1.5243,1.6321,20.13
2026-03-12T11:34:17.440,2295527,23.5,20.9,V,0.983,0.001,0.152,1.4608,1.6234,15.08,1.5241,1.636,20.91
2026-03-12T11:34:18.464,2296551,23.5,20.9,V,0.981,0.002,0.152,1.4604,1.6233,15.1,1.5245,1.627,19.15
2026-03-12T11:34:19.487,2297574,23.5,21.0,V,0.981,0.003,0.153,1.4606,1.6231,15.07,1.5235,1.623,18.59
2026-03-12T11:34:20.510,2298597,23.5,21.0,V,0.98,0.002,0.156,1.4597,1.623,15.14,1.5246,1.626,18.95
2026-03-12T11:34:21.534,2299621,23.5,21.0,V,0.98,0.002,0.16,1.4605,1.6249,15.24,1.524,1.627,19.23
2026-03-12T11:34:22.556,2300644,23.5,21.0,V,0.98,0.002,0.162,1.4609,1.6234,15.07,1.5247,1.6357,20.74
2026-03-12T11:34:23.581,2301668,23.5,21.0,V,0.98,0.002,0.165,1.4609,1.6258,15.3,1.5244,1.6337,20.42
2026-03-12T11:34:24.604,2302691,23.5,21.1,V,0.98,0.001,0.163,1.4607,1.626,15.33,1.5244,1.6325,20.2
2026-03-12T11:34:25.627,2303714,23.5,21.1,V,0.979,0.001,0.159,1.4604,1.6236,15.13,1.5243,1.6359,20.85
