wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-12T14:43:33.436,435834,22.1,23.6,V,0.829,0.0,0.019,1.4568,1.6289,15.96,1.5207,1.6314,20.67
2026-03-12T14:43:34.191,436857,22.1,23.6,V,0.828,0.0,0.019,1.4571,1.6094,14.12,1.5213,1.6005,14.81
2026-03-12T14:43:35.214,437880,22.1,23.6,V,0.828,0.0,0.019,1.4571,1.6214,15.24,1.523,1.6412,22.08
2026-03-12T14:43:36.238,438903,22.1,23.6,V,0.826,0.0,0.019,1.4581,1.6314,16.07,1.5199,1.6102,16.87
2026-03-12T14:43:37.260,439926,22.1,23.6,V,0.824,0.0,0.019,1.4576,1.6035,13.53,1.5201,1.6372,21.87
2026-03-12T14:43:38.283,440949,22.1,23.6,V,0.825,0.0,0.021,1.4573,1.6422,17.15,1.52,1.6385,22.14
2026-03-12T14:43:39.306,441972,22.1,23.6,V,0.824,0.0,0.018,1.4579,1.6156,14.62,1.5199,1.609,16.63
2026-03-12T14:43:40.329,442995,22.1,23.6,V,0.823,0.0,0.019,1.4577,1.6098,14.11,1.521,1.6421,22.6
2026-03-12T14:43:41.352,444018,22.1,23.6,V,0.823,0.0,0.02,1.4574,1.6338,16.37,1.52,1.6195,18.59
2026-03-12T14:43:42.375,445041,22.1,23.6,V,0.823,0.0,0.018,1.4573,1.6078,13.95,1.5211,1.6401,22.21
2026-03-12T14:43:43.411,446064,22.1,23.6,V,0.823,0.0,0.018,1.4569,1.6295,16.0,1.5206,1.6315,20.73
2026-03-12T14:43:44.421,447087,22.1,23.6,V,0.822,0.0,0.019,1.4579,1.6205,15.08,1.5209,1.6037,15.47
2026-03-12T14:43:45.449,448110,22.1,23.6,V,0.822,0.0,0.022,1.4574,1.6055,13.73,1.5212,1.6502,24.09
2026-03-12T14:43:46.468,449133,22.1,23.6,V,0.821,0.0,0.019,1.4572,1.6365,16.63,1.5191,1.6318,21.05
2026-03-12T14:43:47.494,450156,22.1,23.6,V,0.82,0.0,0.019,1.4581,1.605,13.62,1.5199,1.6231,19.26
2026-03-12T14:43:48.512,451179,22.1,23.6,V,0.821,0.0,0.019,1.4561,1.6314,16.26,1.52,1.6452,23.38
2026-03-12T14:43:49.535,452202,22.1,23.6,V,0.819,0.0,0.019,1.4577,1.6243,15.45,1.5192,1.6126,17.44
2026-03-12T14:43:50.558,453225,22.1,23.6,V,0.818,0.0,0.019,1.4559,1.6008,13.44,1.5204,1.6335,21.12
2026-03-12T14:43:51.581,454248,22.1,23.6,V,0.815,0.0,0.019,1.457,1.6362,16.62,1.5188,1.6335,21.42
2026-03-12T14:43:52.604,455271,22.1,23.6,V,0.817,0.0,0.021,1.4575,1.6089,14.04,1.5205,1.6236,19.25
2026-03-12T14:43:53.627,456294,22.1,23.6,V,0.818,0.0,0.019,1.4573,1.6288,15.9,1.5202,1.6474,23.76
2026-03-12T14:43:54.650,457317,22.1,23.6,V,0.817,0.0,0.019,1.4573,1.6297,15.99,1.5192,1.6006,15.2
2026-03-12T14:43:55.673,458340,22.1,23.6,V,0.816,0.0,0.018,1.4557,1.6021,13.57,1.5195,1.6437,23.2
2026-03-12T14:43:56.696,459363,22.1,23.6,V,0.816,0.0,0.018,1.4578,1.6363,16.56,1.5197,1.6295,20.51
2026-03-12T14:43:57.719,460386,22.1,23.6,V,0.816,0.0,0.02,1.4572,1.6109,14.25,1.5195,1.6102,16.95
2026-03-12T14:43:58.742,461409,22.1,23.6,V,0.816,0.0,0.017,1.4573,1.6123,14.37,1.5212,1.6071,16.05
2026-03-12T14:43:59.765,462432,22.1,23.6,V,0.814,0.0,0.018,1.4568,1.6309,16.15,1.5199,1.6113,17.07
2026-03-12T14:44:00.788,463455,22.1,23.6,V,0.815,0.0,0.019,1.4561,1.6153,14.77,1.5203,1.6513,24.47
2026-03-12T14:44:01.811,464478,22.1,23.6,V,0.815,0.0,0.019,1.4565,1.6317,16.25,1.5202,1.6265,19.86
2026-03-12T14:44:02.834,465501,22.1,23.6,V,0.814,0.0,0.018,1.4562,1.617,14.91,1.5205,1.6158,17.79
2026-03-12T14:44:03.857,466524,22.1,23.6,V,0.813,0.0,0.019,1.4566,1.6267,15.78,1.5211,1.6547,24.96
2026-03-12T14:44:04.880,467547,22.1,23.6,V,0.811,0.0,0.019,1.4573,1.6323,16.23,1.5203,1.6265,19.82
2026-03-12T14:44:05.903,468570,22.1,23.6,V,0.812,0.0,0.019,1.4563,1.6034,13.65,1.5208,1.6522,24.53
2026-03-12T14:44:06.926,469593,22.1,23.6,V,0.812,0.0,0.019,1.457,1.6361,16.61,1.5208,1.6412,22.49
2026-03-12T14:44:07.949,470616,22.1,23.6,V,0.811,0.0,0.018,1.4578,1.6142,14.51,1.52,1.6121,17.2
2026-03-12T14:44:08.972,471639,22.1,23.6,V,0.813,0.0,0.019,1.4563,1.6163,14.84,1.5194,1.6453,23.51
2026-03-12T14:44:09.995,472662,22.1,23.6,V,0.811,0.0,0.019,1.4584,1.6403,16.87,1.5202,1.6226,19.12
2026-03-12T14:44:11.018,473685,22.1,23.6,V,0.812,0.0,0.019,1.4565,1.6045,13.73,1.5203,1.6438,23.05
2026-03-12T14:44:12.041,474708,22.1,23.6,V,0.812,0.0,0.019,1.4573,1.645,17.41,1.5203,1.6386,22.1
2026-03-12T14:44:13.064,475731,22.1,23.6,V,0.813,0.0,0.018,1.457,1.6126,14.43,1.5203,1.6209,18.79
2026-03-12T14:44:14.087,476754,22.1,23.6,V,0.813,0.0,0.02,1.4569,1.6274,15.81,1.5202,1.6452,23.34
2026-03-12T14:44:15.110,477777,22.1,23.6,V,0.811,0.0,0.019,1.4574,1.6326,16.25,1.5195,1.604,15.8
2026-03-12T14:44:16.133,478800,22.1,23.6,V,0.811,0.0,0.019,1.4571,1.6057,13.78,1.5219,1.6338,20.9
2026-03-12T14:44:17.156,479823,22.1,23.6,V,0.81,0.0,0.018,1.4575,1.6427,17.18,1.5194,1.6222,19.19
2026-03-12T14:44:18.179,480846,22.1,23.7,V,0.811,0.0,0.018,1.4579,1.6081,13.93,1.5198,1.6209,18.89
2026-03-12T14:44:19.202,481869,22.1,23.7,V,0.811,0.0,0.018,1.4566,1.6177,14.94,1.5197,1.638,22.1
2026-03-12T14:44:20.225,482892,22.1,23.7,V,0.811,0.0,0.018,1.456,1.6291,16.06,1.5198,1.6085,16.56
2026-03-12T14:44:21.248,483915,22.1,23.7,V,0.81,0.0,0.019,1.4567,1.6099,14.21,1.52,1.641,22.61
2026-03-12T14:44:22.271,484938,22.1,23.7,V,0.81,0.0,0.018,1.4573,1.6355,16.52,1.5197,1.6238,19.46
2026-03-12T14:44:23.294,485961,22.1,23.7,V,0.811,0.0,0.018,1.4573,1.6162,14.74,1.5193,1.6164,18.14
2026-03-12T14:44:24.317,486984,22.1,23.7,V,0.809,0.0,0.019,1.4545,1.6251,15.82,1.5204,1.6432,22.94
2026-03-12T14:44:25.340,488007,22.1,23.7,V,0.81,0.0,0.019,1.4571,1.6355,16.55,1.5195,1.6127,17.41
2026-03-12T14:44:26.363,489030,22.1,23.7,V,0.81,0.0,0.019,1.4562,1.606,13.89,1.521,1.6491,23.94
2026-03-12T14:44:27.386,490053,22.1,23.7,V,0.808,0.0,0.018,1.4568,1.6341,16.44,1.5184,1.6158,18.2
2026-03-12T14:44:28.411,491076,22.1,23.7,V,0.809,0.0,0.019,1.4567,1.6058,13.83,1.5204,1.6306,20.58
2026-03-12T14:44:29.431,492099,22.1,23.7,V,0.808,0.0,0.019,1.4568,1.6428,17.25,1.52,1.635,21.49
2026-03-12T14:44:30.456,493122,22.1,23.7,V,0.809,0.0,0.018,1.4568,1.6192,15.06,1.5204,1.6133,17.35
2026-03-12T14:44:31.478,494145,22.1,23.7,V,0.808,0.0,0.02,1.4557,1.6123,14.52,1.5204,1.6412,22.57
2026-03-12T14:44:32.503,495168,22.1,23.7,V,0.807,0.0,0.019,1.4566,1.6425,17.23,1.5201,1.6108,16.94
2026-03-12T14:44:33.523,496191,22.1,23.7,V,0.807,0.0,0.019,1.4564,1.6001,13.33,1.5207,1.6363,21.59
2026-03-12T14:44:34.546,497214,22.1,23.7,V,0.807,0.0,0.017,1.4554,1.6336,16.53,1.5211,1.6346,21.2
