wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho,h2s_vref,h2s_vgas,h2s_ppm,etoh_vref,etoh_vgas,etoh_ppm
2026-03-12T11:46:58.437,3055999,22.5,27.4,V,1.073,0.106,0.237,1.5077,1.6704,15.08,1.5702,1.673,19.2
2026-03-12T11:46:58.920,3057022,22.5,27.7,V,1.071,0.106,0.236,1.507,1.6816,16.19,1.57,1.7012,24.5
2026-03-12T11:46:59.944,3058046,22.4,27.8,V,1.072,0.105,0.235,1.5057,1.6886,16.96,1.5687,1.6558,16.28
2026-03-12T11:47:00.967,3059069,22.5,27.9,V,1.072,0.105,0.234,1.5057,1.6602,14.33,1.569,1.7054,25.47
2026-03-12T11:47:01.990,3060092,22.5,27.9,V,1.073,0.103,0.235,1.5062,1.7028,18.24,1.5688,1.6714,19.17
2026-03-12T11:47:03.013,3061115,22.5,27.9,V,1.07,0.105,0.241,1.5129,1.6839,15.86,1.5732,1.6536,15.02
2026-03-12T11:47:04.037,3062139,22.4,27.9,V,1.081,0.113,0.253,1.5193,1.685,15.37,1.5817,1.6611,14.84
2026-03-12T11:47:05.060,3063162,22.5,27.9,V,1.094,0.126,0.257,1.5185,1.6814,15.1,1.5795,1.6259,8.67
2026-03-12T11:47:06.083,3064185,22.4,27.9,V,1.096,0.131,0.261,1.5193,1.6792,14.82,1.5809,1.649,12.72
2026-03-12T11:47:07.106,3065208,22.4,27.9,V,1.094,0.132,0.263,1.5174,1.6995,16.89,1.5784,1.7041,23.48
2026-03-12T11:47:08.130,3066232,22.4,28.0,V,1.09,0.126,0.254,1.5176,1.6977,16.71,1.5788,1.6714,17.3
2026-03-12T11:47:09.154,3067256,22.4,28.0,V,1.09,0.123,0.255,1.5178,1.6746,14.54,1.5782,1.698,22.37
2026-03-12T11:47:10.178,3068280,22.4,28.0,V,1.091,0.122,0.254,1.5179,1.7058,17.43,1.5786,1.673,17.62
2026-03-12T11:47:11.201,3069303,22.5,28.0,V,1.094,0.122,0.253,1.5173,1.6802,15.1,1.5777,1.6753,18.24
2026-03-12T11:47:12.224,3070326,22.4,27.9,V,1.094,0.125,0.252,1.5169,1.6897,16.02,1.5782,1.7005,22.85
2026-03-12T11:47:13.248,3071350,22.4,27.9,V,1.095,0.126,0.251,1.5182,1.7048,17.3,1.5785,1.6576,14.78
2026-03-12T11:47:14.272,3072374,22.4,27.9,V,1.095,0.125,0.252,1.5182,1.6869,15.64,1.5784,1.6986,22.45
2026-03-12T11:47:15.295,3073397,22.4,27.8,V,1.094,0.122,0.251,1.5188,1.709,17.65,1.5778,1.671,17.39
2026-03-12T11:47:16.319,3074421,22.4,27.8,V,1.095,0.12,0.25,1.517,1.6824,15.33,1.5775,1.6704,17.36
2026-03-12T11:47:17.343,3075445,22.4,27.8,V,1.096,0.124,0.252,1.5164,1.691,16.19,1.5786,1.6972,22.15
2026-03-12T11:47:18.367,3076469,22.4,27.8,V,1.096,0.121,0.251,1.5187,1.6993,16.75,1.5784,1.6649,16.17
2026-03-12T11:47:19.390,3077492,22.4,27.8,V,1.096,0.121,0.252,1.5177,1.6717,14.29,1.5791,1.704,23.34
2026-03-12T11:47:20.414,3078516,22.4,27.8,V,1.097,0.123,0.25,1.5179,1.7119,17.99,1.5784,1.6801,18.99
2026-03-12T11:47:21.437,3079539,22.4,27.8,V,1.098,0.122,0.249,1.5154,1.6835,15.59,1.5777,1.6851,20.05
2026-03-12T11:47:22.461,3080563,22.4,27.8,V,1.098,0.124,0.251,1.5183,1.6925,16.16,1.5773,1.7103,24.83
2026-03-12T11:47:23.485,3081587,22.4,27.7,V,1.098,0.122,0.25,1.5173,1.6988,16.84,1.5777,1.6744,18.05
2026-03-12T11:47:24.508,3082610,22.4,27.7,V,1.099,0.121,0.25,1.5169,1.6724,14.41,1.5779,1.7208,26.7
2026-03-12T11:47:25.532,3083634,22.4,27.7,V,1.098,0.124,0.252,1.5162,1.7111,18.08,1.5782,1.691,21.08
2026-03-12T11:47:26.554,3084657,22.4,27.7,V,1.102,0.12,0.252,1.5157,1.6797,15.2,1.5776,1.7015,23.14
2026-03-12T11:47:27.579,3085681,22.4,27.7,V,1.097,0.118,0.246,1.5104,1.6914,16.78,1.5755,1.7427,31.23
2026-03-12T11:47:28.602,3086704,22.4,27.7,V,1.098,0.116,0.245,1.513,1.6973,17.09,1.5755,1.6857,20.59
2026-03-12T11:47:29.625,3087727,22.4,27.7,V,1.097,0.117,0.246,1.5118,1.6695,14.63,1.576,1.7198,26.86
2026-03-12T11:47:30.652,3088751,22.4,27.7,V,1.099,0.119,0.246,1.5126,1.757,22.67,1.577,2.3643,147.05
2026-03-12T11:47:31.673,3089775,22.4,27.7,V,1.099,0.117,0.248,1.5127,1.7027,17.61,1.5747,2.3142,138.13
2026-03-12T11:47:32.697,3090799,22.4,27.6,V,1.1,0.118,0.247,1.5107,1.7063,18.15,1.5753,2.2846,132.48
2026-03-12T11:47:33.721,3091823,22.4,27.6,V,1.1,0.116,0.245,1.5113,1.6846,16.07,1.5749,2.3177,138.76
2026-03-12T11:47:34.745,3092846,22.4,27.6,V,1.101,0.118,0.245,1.5113,1.661,13.88,1.576,2.4116,156.09
2026-03-12T11:47:35.767,3093870,22.4,27.6,V,1.101,0.117,0.244,1.5114,1.7068,18.12,1.5743,2.2982,135.21
2026-03-12T11:47:36.791,3094894,22.4,27.6,V,1.102,0.118,0.245,1.5112,1.6601,13.82,1.5756,2.1405,105.52
2026-03-12T11:47:37.815,3095918,22.4,27.6,V,1.102,0.119,0.245,1.5131,1.7245,19.6,1.5758,2.0718,92.65
2026-03-12T11:47:38.839,3096942,22.4,27.6,V,1.102,0.117,0.246,1.512,1.6879,16.32,1.5755,2.0167,82.41
2026-03-12T11:47:39.862,3097965,22.4,27.6,V,1.103,0.118,0.246,1.5116,1.6767,15.31,1.5767,2.1079,99.23
2026-03-12T11:47:40.886,3098989,22.4,27.6,V,1.107,0.117,0.244,1.5115,1.694,16.93,1.5744,1.9747,74.77
2026-03-12T11:47:41.909,3100012,22.4,27.5,V,1.104,0.117,0.244,1.5109,1.6555,13.41,1.5766,2.0172,82.3
2026-03-12T11:47:42.933,3101036,22.4,27.5,V,1.103,0.117,0.246,1.5121,1.7222,19.48,1.5754,1.7545,33.46
2026-03-12T11:47:43.956,3102059,22.4,27.5,V,1.105,0.116,0.244,1.5115,1.6837,15.97,1.5749,1.6806,19.73
2026-03-12T11:47:44.980,3103083,22.4,27.5,V,1.105,0.119,0.245,1.5115,1.6979,17.28,1.575,1.7238,27.8
2026-03-12T11:47:46.003,3104106,22.4,27.5,V,1.106,0.117,0.246,1.512,1.7104,18.4,1.5753,1.6928,21.94
2026-03-12T11:47:47.027,3105130,22.4,27.5,V,1.106,0.119,0.246,1.5106,1.659,13.77,1.576,1.7343,29.58
2026-03-12T11:47:48.050,3106153,22.4,27.5,V,1.107,0.117,0.245,1.5129,1.7203,19.24,1.5751,1.6845,20.42
2026-03-12T11:47:49.074,3107177,22.4,27.5,V,1.106,0.118,0.245,1.5116,1.6613,13.88,1.5749,1.7096,25.15
2026-03-12T11:47:50.097,3108200,22.4,27.5,V,1.108,0.117,0.246,1.5107,1.7078,18.28,1.5752,1.7087,24.95
2026-03-12T11:47:51.121,3109224,22.4,27.5,V,1.108,0.116,0.246,1.5132,1.6941,16.77,1.5749,1.6719,18.11
2026-03-12T11:47:52.144,3110247,22.4,27.4,V,1.108,0.117,0.245,1.5139,1.6555,13.13,1.5751,1.6854,20.6
2026-03-12T11:47:53.167,3111270,22.4,27.4,V,1.108,0.116,0.245,1.5153,1.6926,16.45,1.5744,1.6847,20.62
2026-03-12T11:47:54.190,3112293,22.4,27.4,V,1.108,0.118,0.245,1.5135,1.6644,14.0,1.575,1.676,18.87
2026-03-12T11:47:55.214,3113317,22.4,27.4,V,1.109,0.118,0.244,1.5143,1.7037,17.57,1.5758,1.7087,24.81
2026-03-12T11:47:56.237,3114340,22.4,27.4,V,1.109,0.116,0.245,1.5145,1.7106,18.19,1.5742,1.6752,18.86
2026-03-12T11:47:57.261,3115364,22.4,27.4,V,1.111,0.119,0.243,1.5137,1.6826,15.67,1.5744,1.7014,23.73
2026-03-12T11:47:58.285,3116388,22.4,27.4,V,1.109,0.121,0.245,1.5159,1.7199,18.92,1.5747,1.6493,13.95
2026-03-12T11:47:59.308,3117411,22.4,27.4,V,1.111,0.12,0.245,1.5132,1.6674,14.3,1.5755,1.7145,25.98
2026-03-12T11:48:00.331,3118434,22.4,27.4,V,1.112,0.117,0.246,1.5124,1.7183,19.09,1.5752,1.7049,24.22
2026-03-12T11:48:01.355,3119458,22.4,27.4,V,1.113,0.115,0.245,1.513,1.6833,15.79,1.5749,1.688,21.12
2026-03-12T11:48:02.379,3120482,22.4,27.3,V,1.112,0.118,0.245,1.512,1.6932,16.81,1.5761,1.7187,26.62
2026-03-12T11:48:03.402,3121505,22.3,27.3,V,1.113,0.116,0.246,1.5145,1.7141,18.51,1.5748,1.6741,18.54
2026-03-12T11:48:04.425,3122528,22.4,27.3,V,1.111,0.118,0.246,1.5137,1.6632,13.86,1.5748,1.7156,26.31
2026-03-12T11:48:05.448,3123551,22.3,27.3,V,1.113,0.118,0.245,1.5133,1.7248,19.61,1.577,1.6927,21.6
2026-03-12T11:48:06.471,3124574,22.4,27.3,V,1.114,0.118,0.246,1.5135,1.6874,16.12,1.5745,1.659,15.78
2026-03-12T11:48:07.494,3125597,22.4,27.3,V,1.114,0.119,0.245,1.5126,1.6816,15.68,1.5755,1.6965,22.59
2026-03-12T11:48:08.517,3126620,22.3,27.3,V,1.114,0.116,0.245,1.5148,1.7192,18.96,1.574,1.6593,15.94
2026-03-12T11:48:09.540,3127643,22.4,27.3,V,1.114,0.119,0.246,1.5117,1.6634,14.07,1.5746,1.6985,23.14
2026-03-12T11:48:10.563,3128666,22.4,27.3,V,1.116,0.119,0.246,1.513,1.6972,17.08,1.5752,1.7115,25.45
2026-03-12T11:48:11.587,3129690,22.4,27.3,V,1.116,0.119,0.246,1.5142,1.6974,16.99,1.5749,1.6871,20.95
2026-03-12T11:48:12.611,3130714,22.3,27.3,V,1.115,0.119,0.245,1.5115,1.6766,15.31,1.5746,1.7603,34.69
2026-03-12T11:48:13.634,3131737,22.3,27.3,V,1.117,0.118,0.245,1.5134,1.713,18.51,1.5757,1.6721,18.01
