wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho
2026-03-04T13:56:03.438,872170,23.4,22.4,V,1.138,0.526,0.37
2026-03-04T13:56:04.448,873180,23.4,22.4,V,1.139,0.525,0.371
2026-03-04T13:56:05.457,874190,23.4,22.4,V,1.141,0.526,0.371
2026-03-04T13:56:06.468,875200,23.4,22.5,V,1.138,0.528,0.371
2026-03-04T13:56:07.478,876210,23.4,22.5,V,1.139,0.525,0.37
2026-03-04T13:56:08.487,877220,23.4,22.5,V,1.137,0.526,0.369
2026-03-04T13:56:09.498,878230,23.4,22.4,V,1.138,0.526,0.369
2026-03-04T13:56:10.508,879240,23.4,22.4,V,1.135,0.516,0.364
2026-03-04T13:56:11.517,880250,23.4,22.4,V,1.142,0.519,0.369
2026-03-04T13:56:12.528,881260,23.4,22.4,V,1.154,0.519,0.374
2026-03-04T13:56:13.537,882270,23.4,22.3,V,1.152,0.517,0.372
2026-03-04T13:56:14.547,883280,23.4,22.3,V,1.15,0.518,0.375
2026-03-04T13:56:15.557,884290,23.4,22.3,V,1.153,0.518,0.375
2026-03-04T13:56:16.567,885300,23.4,22.3,V,1.153,0.519,0.378
2026-03-04T13:56:17.577,886310,23.4,22.3,V,1.155,0.516,0.379
2026-03-04T13:56:18.587,887320,23.4,22.3,V,1.154,0.518,0.382
2026-03-04T13:56:19.597,888330,23.4,22.3,V,1.155,0.518,0.386
2026-03-04T13:56:20.607,889340,23.4,22.3,V,1.158,0.519,0.39
2026-03-04T13:56:21.617,890350,23.4,22.3,V,1.155,0.515,0.392
2026-03-04T13:56:22.627,891360,23.4,22.3,V,1.159,0.516,0.399
2026-03-04T13:56:23.637,892370,23.4,22.3,V,1.159,0.515,0.401
2026-03-04T13:56:24.647,893380,23.4,22.3,V,1.159,0.517,0.408
2026-03-04T13:56:25.657,894390,23.4,22.3,V,1.162,0.516,0.413
2026-03-04T13:56:26.667,895400,23.4,22.3,V,1.162,0.516,0.418
2026-03-04T13:56:27.677,896410,23.4,22.4,V,1.163,0.518,0.425
2026-03-04T13:56:28.687,897420,23.4,22.4,V,1.162,0.519,0.433
2026-03-04T13:56:29.697,898430,23.4,22.4,V,1.161,0.519,0.439
2026-03-04T13:56:30.707,899440,23.4,22.4,V,1.162,0.518,0.446
2026-03-04T13:56:31.717,900450,23.4,22.4,V,1.161,0.516,0.45
2026-03-04T13:56:32.728,901460,23.4,22.4,V,1.164,0.519,0.456
2026-03-04T13:56:33.737,902470,23.4,22.4,V,1.163,0.517,0.471
2026-03-04T13:56:34.747,903480,23.4,22.4,V,1.508,0.563,2.349
2026-03-04T13:56:35.757,904490,23.4,22.3,V,1.725,0.569,2.1
2026-03-04T13:56:36.767,905500,23.4,22.3,V,1.942,0.577,1.949
2026-03-04T13:56:37.777,906510,23.4,22.3,V,2.25,0.602,1.895
2026-03-04T13:56:38.787,907520,23.4,22.3,V,2.545,0.619,1.88
2026-03-04T13:56:39.797,908530,23.4,22.3,V,2.715,0.63,2.239
2026-03-04T13:56:40.807,909540,23.4,22.3,V,2.759,0.648,2.191
2026-03-04T13:56:41.817,910550,23.4,22.3,V,2.806,0.663,1.955
2026-03-04T13:56:42.827,911560,23.4,22.3,V,2.821,0.66,1.96
